Neumeldungen an Tuberkuloseerkrankungen in Wien nach Staatsangehörigkeit und Geschlecht seit 2005;;;;;;;
Jahr;Insgesamt;Tuberkulose – Neuerkrankungen;;;;;
;;ÖsterreicherInnen;;;AusländerInnen;;
;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;Männer;Frauen;;Männer;Frauen
2005;391;184;122;62;207;135;72
2006;393;222;121;101;171;119;52
2007;271;139;86;53;132;81;51
2008;278;150;84;66;128;74;54
2009;256;125;73;52;131;78;53
2010;232;104;60;44;128;73;55
2011;249;101;67;34;148;90;58
2012;254;104;58;46;150;88;62
2013;261;160;91;69;101;60;41
2014;218;69;49;20;149;87;62
2015;200;60;39;21;140;90;40
2016;221;46;29;17;175;120;55
2017;222;59;37;22;163;120;43
2018;176;48;33;15;128;82;46
2019;174;41;21;20;133;78;55
2020;135;46;31;15;89;62;27
2021;131;38;30;8;93;66;27
2022;129;34;17;17;95;62;33
Quelle: Stadt Wien Gesundheitsdienst der Stadt Wien.;;;;;;;
