Arbeitsunfälle und Berufskrankheiten in Wien nach Wirtschaftstätigkeiten und Geschlecht 2022;;;;;;;;
Wirtschaftstätigkeit (ÖNACE 2008);Arbeitsunfälle (inkl. Wegunfälle);;;;Berufskrankheiten;;;
;insgesamt;Geschlecht;;"darunter
tödlich";insgesamt;Geschlecht;;darunter tödlich
;;Männer;Frauen;;;Männer;Frauen;
Wien;16396;10346;6050;9;1409;362;1047;6
Land- und Forstwirtschaft, Fischerei;25;17;8;–;1;1;–;–
Bergbau und Gewinnung von Steinen und Erden;–;–;–;–;–;–;–;–
Herstellung von Waren;1078;831;247;–;19;18;1;2
Energieversorgung;63;53;10;–;–;–;–;–
"Wasserversorgung, Abwasser- und 
Abfallentsorgung und Beseitigung 
von Umweltverschmutzungen";55;52;3;–;1;1;–;–
Bau;2475;2416;59;2;28;28;–;1
"Handel, Instandhaltung und 
Reparatur von Kraftfahrzeugen";2471;1381;1090;4;9;5;4;2
Verkehr und Lagerei;846;740;106;1;1;1;–;–
Beherbergung und Gastronomie;1418;850;568;–;–;–;–;–
Information und Kommunikation;373;282;91;–;–;–;–;–
"Erbringung von Fiz- und 
Versicherungs-Dienstleistungen";326;212;114;–;1;1;–;–
Grundstücks- und Wohnungswesen;178;106;72;–;1;1;–;1
"Erbringung von freiberuflichen, wissenschaftlichen
und technischen Dienstleistungen";580;292;288;1;2;2;–;–
"Erbringung von sonstigen 
wirtschaftlichen Dienstleistungen";2138;1478;660;1;19;4;15;–
"Öffentliche Verwaltung, Verteidigung, 
Sozialversicherung";1052;359;693;–;170;38;132;–
Erziehung und Unterricht;575;214;361;–;128;9;119;–
Gesundheits- und Sozialwesen;1960;604;1356;–;1019;251;768;–
Kunst, Unterhaltung und Erholung;469;312;157;–;1;1;–;–
Erbringung von sonstigen Dienstleistungen;295;142;153;–;9;1;8;–
Private Haushalte mit Hauspersonal, Herstellung von Waren und Erbringung von Dienstleistungen durch private Haushalte für den Eigenbedarf ohne ausgeprägtem Schwerpunkt;11;3;8;–;–;–;–;–
Exterritoriale Organisationen und Körperschaften;8;2;6;–;–;–;–;–
Kein Wert vorhanden/nicht relevant;–;–;–;–;–;–;–;–
Quelle: Allgemeine Unfallversicherungsanstalt.;;;;;;;;
Anmerkung: Vorläufige Zahlen. Ohne selbstständig Erwerbstätige und ohne sonstige im Schadensfall geschützte Personen. Betriebsort ist Wien.;;;;;;;;
