Todesursachen in Wien nach ICD-10-Klassifikation, Geschlecht und Altersgruppen 2022;;;;;;;;;;
Todesursache nach ICD-10-Klassifikation;Insgesamt;Gestorbene (1);;;;;;;;
;;Männer im Alter von…;;;;Frauen im Alter von…;;;;
;;0–24;25–44;45–64;65+;0–24;25–44;45–64;65+;
Wien;18041;104;311;1539;6804;75;156;899;8153;
Infektiöse und parasitäre Krankheiten;204;0;9;29;79;0;0;6;81;
Bösartige, gutartige und andere Neubildungen;4277;8;39;461;1691;8;39;418;1613;
Krankheiten des Blutes und des Immunsystems;61;2;1;3;22;1;2;2;28;
Endokrine, Ernährungs- und Stoffwechselkrankheiten;1073;1;13;81;432;1;8;58;479;
Psychische Krankheiten und Verhaltensstörungen;569;0;21;63;143;0;12;11;319;
Krankheiten des Nervensystems, des Auges und des Ohres;571;5;15;19;231;10;4;21;266;
Krankheiten des Kreislaufsystems;5897;5;35;362;2198;1;17;133;3146;
Krankheiten des Atmungssystems;1033;3;2;68;420;0;3;41;496;
Krankheiten des Verdauungssystems;709;0;24;156;237;0;12;45;235;
Krankheiten der Haut und der Unterhaut;13;0;1;0;1;0;0;4;7;
Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;43;0;1;2;9;1;1;1;28;
Krankheiten des Urogenitalsystems;379;0;1;8;130;0;1;3;236;
Schwangerschaft, Geburt und Wochenbett;1;0;0;0;0;1;0;0;0;
Perinatale Affektionen;35;20;0;0;0;15;0;0;0;
Angeborene Anomalien;45;13;3;5;3;9;2;5;5;
Symptome und abnorme klinische und Laborbefunde;890;9;24;91;388;4;5;55;314;
Verletzungen, Vergiftungen, Folgen äußerer Ursachen;2241;38;122;191;820;24;50;96;900;
Quelle: Statistik Austria – Todesursachenstatistik, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;
(1) Inklusive Auslandssterbefälle.;;;;;;;;;;
