Suizide nach Methode seit 2013;;;;;;;;;;
Methode;Berichtsjahr;;;;;;;;;
;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Wien;234;237;216;196;186;221;164;174;151;221
Vergiften mit festen oder flüssigen Stoffen;40;27;25;26;19;23;14;20;16;37
Vergiften mit sonstigen Gasen;6;10;8;4;6;3;3;2;2;4
Erhängen, Erdrosseln, Ersticken;75;83;66;54;52;61;49;52;54;57
Ertränken;7;8;6;4;4;7;8;2;1;4
Feuerwaffen, Explosionsstoffe;43;44;38;38;40;48;30;37;28;39
Schneidende und stechende Gegenstände;8;7;9;12;10;11;9;8;3;11
Stumpfe Gegenstände;–;–;–;–;–;–;–;–;–;–
Sturz in die Tiefe;42;42;50;36;46;50;38;34;32;49
Überfahren lassen;10;15;9;17;7;12;11;8;12;12
Beabsichtigter Verkehrsunfall;–;–;1;–;–;1;–;1;–;–
Sonstige oder nicht näher bezeichnete Weise;3;1;4;5;2;5;2;10;3;8
Quelle: Statistik Austria – Todesursachenstatistik, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;
