Suizide nach Methode, Geschlecht und Altersgruppen 2022;;;;;;;;;
Methode;Insgesamt;Gestorbene;;;;;;;
;;Männer im Alter von… Jahren;;;;Frauen im Alter von… Jahren;;;
;;0–24;25–44;45–64;65+;0–24;25–44;45–64;65+
Wien;221;9;29;49;61;3;10;23;37
Vergiften mit festen oder flüssigen Stoffen;37;0;1;8;7;0;1;5;15
Vergiften mit sonstigen Gasen;4;0;1;0;1;0;0;0;2
Erhängen, Erdrosseln, Ersticken;57;3;14;13;12;0;4;5;6
Ertränken;4;0;1;0;0;0;0;1;2
Feuerwaffen, Explosionsstoffe;39;2;4;12;18;0;0;2;1
Schneidende und stechende Gegenstände;11;1;1;2;7;0;0;0;0
Stumpfe Gegenstände;0;0;0;0;0;0;0;0;0
Sturz in die Tiefe;49;1;6;8;12;1;3;8;10
Überfahren lassen;12;1;1;5;1;1;1;2;0
Beabsichtigter Verkehrsunfall;0;0;0;0;0;0;0;0;0
Sonstige oder nicht näher bezeichnete Weise;8;1;0;1;3;1;1;0;1
Quelle: Statistik Austria – Todesursachenstatistik, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
