Klimatologische Kenntage in Wien seit 1950;;;;;;
Jahr;Frosttage;Eistage;Sommertage;Hitzetage;Sonnenscheindauer (1);
;;;;;h;%
1950;62;31;65;8;1959;45,79826384301432
1951;51;10;51;1;1898;44,37218212049065
1952;93;26;46;13;1847;43,179884286905285
1953;79;20;59;7;2140;50,02975223279768
1954;79;40;41;7;1784;41,70704578659395
1955;91;26;25;1;1710;39,97704500845048
1956;102;47;34;3;1937;45,283939287350044
1957;56;32;41;10;1822;42,595424564559515
1958;77;12;38;9;1767;41,30961317539883
1959;63;16;36;5;1964;45,91515578748347
1960;62;20;27;2;1761;41,169342842035846
1961;63;28;35;11;2064;48,25299467686654
1962;102;27;42;14;1862;43,53056012031274
1963;112;63;47;17;1919;44,86312828726109
1964;95;42;50;17;1781;41,636910619912456
1965;106;19;27;5;1679;39,25231495274173
1966;65;23;29;2;1753;40,9823157308852
1967;72;14;45;17;2059;48,13610273239739
1968;87;31;39;9;1815;42,4317758423027
1969;97;44;42;6;1887;44,11501984265851
1970;82;31;41;4;1659;38,78474717486511
1971;72;31;42;14;1858;43,43704656473742
1972;62;28;35;13;1601;37,42880061902294
1973;80;12;49;9;1831;42,80583006460399
1974;32;3;33;11;1586;37,07812478561547
1975;64;7;51;-;1715;40,093936952919634
1976;80;22;34;8;1740;40,6783966752654
1977;60;23;43;2;1674;39,135423008272575
1978;79;20;25;2;1569;36,68069217442035
1979;70;20;39;6;1746;40,81866700862838
1980;85;27;28;4;1560;36,47028667437588
1981;75;19;48;11;1722;40,25758567517644
1982;66;32;58;6;1779;41,5901538421248
1983;72;17;66;19;1931;45,14366895398706
1984;71;20;29;8;1597;37,33528706344761
1985;77;39;42;10;1696;39,64974756393685
1986;82;38;50;13;1887;44,11501984265851
1987;81;38;45;5;1657;38,73799039707745
1988;67;10;41;17;1835;42,899343620179316
1989;58;12;43;4;1765;41,262856397611166
1990;48;16;44;16;1885;44,06826306487085
1991;73;23;50;12;1750;40,91218056420371
1992;52;10;61;26;1939;45,33069606513771
1993;87;31;63;15;1976;46,19569645420944
1994;43;10;75;28;2053;47,995832399034406
1995;74;21;64;15;1868;43,67083045367573
1996;97;49;45;6;1803;42,15123517557673
1997;70;20;63;3;2049;47,902318843459085
1998;76;20;65;20;1978;46,242453231997104
1999;70;21;58;9;1960;45,82164223190815
2000;45;17;71;26;2113;49,39853573266424
2001;71;15;66;21;1912;44,699479565004275
2002;54;24;77;18;1998;46,710021009873714
2003;88;22;102;40;2305;53,88718640027974
2004;74;20;54;9;1939;45,33069606513771
2005;82;25;65;12;2107;49,25826539930126
2006;79;23;61;22;2228;52,08705045545477
2007;40;16;84;22;2203;51,50259073310901
2008;47;8;74;8;2038;47,64515656562694
2009;57;25;74;14;2032;47,504886232263964
2010;86;35;56;15;1882;43,99812789818936
2011;70;12;77;18;2242;52
2012;59;19;89;31;2205;52
2013;67;17;68;26;1993;47
2014;30;10;60;13;1967;46
2015;41;2;78;42;2115;49
2016;51;13;85;20;2069;48
2017;57;21;85;38;2164;50
2018;54;13;113;37;2188;51
2019;46;3;87;38;2148;50
2020;42;3;76;21;2031;47
2021;57;7;83;24;2109;49
2022;49;6;93;31;2135;50
Quelle: GeoSphere Austria.;;;;;;
(1) Der Prozentanteil bezieht sich auf die maximal mögliche Sonnenscheindauer in Wien.;;;;;;
