Sonnenscheindauer, Bewölkung und Luftdruck in Wien nach Monaten 2022;;;;;;;
Monat;Sonnenscheindauer;;Bewölkungs-mittel;Luftdruck;;;
;h;Anteil an der örtlich möglichen Dauer in %;;mittlerer;Abweichung vom NW (1);höchster;tiefster
;;;;hPa;;;
2022;2135;50;6,266666666666667;993,2750000000001;1,2083333333333144;1014,5;970,1
Jänner;93;35;6,5;997,2;2,300000000000068;1012,8;973,8
Februar;126;46;6;993,5;0,20000000000004547;1008,5;973
März;229;64;3,8;999,9;8,399999999999977;1014,5;970,1
April;176;45;6,9;988,7;-0,39999999999997726;1003,3;970,5
Mai;263;59;6,2;993;2,7999999999999545;1002,6;982,7
Juni;308;68;5,4;991,3;0,5;999,1;983,5
Juli;287;62;5,1;993,8;2,599999999999909;1001,5;984,8
August;237;56;5,8;991,1;-0,10000000000002274;1000,2;981,5
September;170;47;7;988,9;-3,6000000000000227;1000;974,1
Oktober;136;42;6,9;997,4;3,699999999999932;1005;987,2
November;69;26;7,4;992,4;-0,3000000000000682;1008,9;975,5
Dezember;41;16;8,2;992,1;-1,6000000000000227;1011,1;975,4
Quelle: GeoSphere Austria.;;;;;;;
(1) NW = Normalwert_ Abweichung vom langjährigen Mittelwert der Jahre 1981–2010.;;;;;;;
