Theatervorstellungen und -besuche in Wien seit 2002/2003;;;;;;;;
Spieljahr;Bundestheater;;;;;;;
;Staatsoper;;Volksoper;;Burgtheater (1);;Akademietheater;
;Vorstellungen;Besuche;Vorstellungen;Besuche;Vorstellungen;Besuche;Vorstellungen;Besuche
2002/03;359;607342;307;285019;423;265946;289;129945
2003/04;347;619448;301;320641;478;281604;295;129345
2004/05;359;623046;310;296787;548;293757;285;122636
2005/06;355;603750;276;280520;566;285422;284;119923
2006/07;356;608195;281;289721;554;298105;280;118566
2007/08;347;605216;291;325491;537;251414;284;121559
2008/09;340;583797;291;319568;566;258406;275;115997
2009/10;337;588657;304;314629;439;283356;274;113959
2010/11;346;585006;301;303341;596;282761;284;117225
2011/12;363;588989;305;305873;594;315160;283;123700
2012/13;361;599724;310;308008;596;314024;288;116629
2013/14;370;603688;316;311781;553;303577;292;119801
2014/15;361;598951;328;315189;478;276096;308;127810
2015/16;394;610516;310;315382;498;270481;294;120469
2016/17;390;601624;318;298714;525;267893;290;121252
2017/18;402;608955;321;300019;606;274435;289;122643
2018/19;384;628002;323;311986;684;293951;286;120817
2019/20;247;377561;206;224136;382;165934;173;75398
2020/21;116;98711;121;57561;142;30846;94;24567
Spieljahr;Theater verschiedener TrägerInnen;;;;;;;
;"Theater in der 
Josefstadt";;Kammerspiele;;Volkstheater;;Theater der Jugend;
;;;;;;;;
;Vorstellungen;Besuche;Vorstellungen;Besuche;Vorstellungen;Besuche;Vorstellungen;Besuche (2)
2002/03;350;186893;341;145343;576;215083;308;113403
2003/04;354;169140;339;130929;516;244901;357;136563
2004/05;344;180515;333;141885;511;198182;339;138285
2005/06;366;181667;338;139695;677;205847;336;133109
2006/07;336;170945;338;153327;691;208740;342;140537
2007/08;327;154009;347;150779;566;211655;356;143137
2008/09;376;164068;343;137981;549;205092;342;135640
2009/10;352;172425;338;159426;574;226409;381;145707
2010/11;359;164797;328;152248;508;210591;383;145653
2011/12;337;163081;372;166764;518;213086;391;146662
2012/13;358;158212;276;120860;498;189363;374;145353
2013/14;363;163495;292;123350;485;185819;368;141779
2014/15;358;168899;333;131411;438;174066;379;143910
2015/16;336;151934;328;134336;432;145761;336;129538
2016/17;388;161737;337;134638;424;128927;327;131744
2017/18;408;167706;320;131495;446;129631;328;126224
2018/19;340;168188;312;120727;414;112526;337;134299
2019/20;198;99236;203;84218;239;64663;194;76222
2020/21;84;23015;109;24128;79;9403;77;14228
Spieljahr;Vereinigte Bühnen Wien;;;;;;Insgesamt;
;Raimundtheater;;Theater an der Wien;;Ronacher (3);;;
;Vorstellungen;Besuche;Vorstellungen;Besuche;Vorstellungen;Besuche;Vorstellungen;Besuche
2002/03;282;227686;225;219657;93;101370;3553;2497687
2003/04;236;193936;253;273132;141;155382;3617;2655021
2004/05;256;300048;215;228186;41;44953;3541;2568280
2005/06;269;306559;107;99209;–;–;3574;2355701
2006/07;271;322678;111;82126;–;–;3560;2392940
2007/08;328;351682;122;79332;146;91997;3651;2486271
2008/09;205;178872;129;88589;231;193959;3647;2381969
2009/10;233;275876;129;89636;296;284946;3657;2655026
2010/11;261;282182;109;75090;257;246722;3732;2565616
2011/12;254;249691;126;83802;249;213721;3792;2570529
2012/13;254;263718;115;76704;186;126127;3616;2418722
2013/14;242;266845;117;81783;220;211136;3618;2513054
2014/15;250;242061;115;72318;259;239820;3607;2490531
2015/16;257;240696;110;75723;218;179296;3513;2374132
2016/17;234;224427;101;67386;218;192840;3552;2331182
2017/18;238;261438;92;64866;269;275570;3719;2462982
2018/19;136;131132;136;71967;288;267653;3640;470752
2019/20;–;–;49;25261;102;84043;1993;1276672
2020/21;9;9941;60;27916;108;74046;999;394362
Quelle: Statistik Austria – Kulturstatistik.;;;;;;;;
"(1) Haupthaus am Ring, Vestibül Landtmannseite und Kasino am Schwarzenbergplatz.
(2) Für die Spieljahre 2003/04, 2004/05 und 2005/06 gilt das jeweilige Kalenderjahr_ z.B. steht 2003/04 für 2004.
(3) Wegen Umbaus von Sommer 2005 bis Juni 2008 geschlossen.
(4) Keine Vorstellungen aufgrund einer Generalsanierung 2019/20.";;;;;;;;
;;;;;;;;
