Wiener Festwochen – Vorstellungen und Besuche 2022;;;;;
Veranstaltungen;"Vorstellungen
(1)";Besuche;darunter;;
;;;"Oper, Operette, 
Musical, Show, 
Tanz, Ballett";"Sprechstück, 
Kabarett";"Konzert 
(E-Musik und
U-Musik)"
Wiener Festwochen;141;29225;14160;13677;1388
MuseumsQuartier Halle E;16;10114;5734;4380;–
Museumsquartier Halle G;17;4148;3127;1021;–
Volkstheater;5;1515;–;1515;–
Jugendstiltheater am Steinhof;14;3067;1295;1772;–
Theater Nestroyhof Hamakom;14;1388;–;1388;–
Schauspielhaus Wien;8;730;489;241;–
brut nordwest;16;1459;442;1017;–
Theater Akzent;7;951;222;729;–
Odeon;10;2462;1692;770;–
das WERK;2;678;–;–;678
MAK;6;459;459;–;–
Cafe Resselpark;4;200;200;–;–
Spitzer;10;500;500;–;–
belvedere 21;1;312;–;–;312
diverse Orte;3;398;–;–;398
Öffentlicher Raum (2);8;844;–;844;–
Quelle: Wiener Festwochen GesmbH.;;;;;
"(1) Im Allgemeinen Werke von lebenden Autoren/Autorinnen, Komponisten/Komponistinnen etc.
(2) Öffentlicher Raum: Karl-Marx-Hof, Capistranistiege, Meiselmarkt, Rossauer Lände";;;;;
