Kinos seit 1985 und Filmfonds Wien seit 1992;;;;;;
Jahr *;Kinosäle *;Sitzplatzkapazität *;Kinobesuche;Nettoeinnahmen;Filmfonds Wien;
;;;;;jährliche Dotierung;Förderungszusagen
;abs.;abs.;1000;1.000 EUR;Mio. EUR;
1985;101;22018;5295,056;21894,726132424435;;
1986;95;20173;5062,971;21619,078072425746;;
1987;101;20453;4626,528;20636,97739148129;;
1988;98;18912;4219,773;19739,24987100572;;
1989;96;19002;4349,397;18340,95186878193;;
1990;95;17753;4250,73;18565,07488935561;;
1991;95;17643;4279,45;19850,657325785047;;
1992;94;17447;3801,058;18327,580067295043;2,6452911637100938;3,6829138899587943
1993;100;18110;4794,839;23771,35672914108;5,7774903163448466;4,801457817053406
1994;97;17956;5027,514;26016,801959259607;6,177190904268075;6,896720565685341
1995;96;17943;4377,539;23042,230183934942;2,3836689607057986;2,899936774634274
1996;98;16499;4141,527;23455,665937515896;5,072563824916608;5,5340363218825175
1997;95;15992;4378,269;24548,956054737177;4,796407055078741;5,0972435194000125
1998;94;15728;4801,196;28128,60184734344;5,087098391750179;4,054758980545482
1999;145;27387;4406,398;;5,595808230925198;6,542951607159727
2000;151;28799;4772,438;27686,896361271192;7,994011758464568;7,863590038007891
2001;191;37384;5837,586;33588,24888;7,994011759999999;10,384826
2002;166;32388;6347,377;38340,4937;7,995;9,015
2003;166;32379;6080,728;36183,01438;8;9,01
2004;161;31501;6538,908;37920,34994;7,995;9,166163
2005;172;32316;5471,582;33579,73217;7,995;7,983984
2006;170;32475;5629,821;34263,70739;7,995;7,558066
2007;171;32211;5000,712;31445,0602;7,995;7,40298
2008;171;32211;5054,941;30975,85137;8;8,057771
2009;169;31819;5604,765;36612,59754;10;11,881827
2010;169;31819;5444,525;37957,3407;11,5;12,309478
2011;156;28662;5059,1;35518,75623;8,9;11,9
2012;154;28640;5019,8;36309,9;8,2;8,2
2013;144;26657;4893,7;36217;10,3;9,1
2014;150;26838;4660,2;35117;9,93;9,36
2015;146;26604;5063,9;39316;10,8;10,4
2016;146;26322;4808,1;36697;10,41;10,52
2017;145;26222;4687,3;36403;9,7;9,24
2018;147;25863;4170,903;32819,18267;8,877996;10,888822
2019;138;24676;4356,5;34318,176490000005;9,88462;13,409804
2020;138;24749;1287956;10230,57527;8976860;10655674
2021;138;24734;1375,613;13289,57516;12408112;12888704
Quelle: Statistik Austria – Kulturstatistik.;;;;;;
"(1) Kinos zu Jahresende, ohne Sonderformen wie Sommerkino, Open-Air-Veranstaltungen, Filmclubs usw._ inklusive Autokino. 
Kinos mit unbekannter Anzahl an Sälen wurden als ein Kinosaal gezählt. Kinosäle bis 1998 einschließlich Wanderkinos.";;;;;;
;;;;;;
