Büchereien Wien – Neuanmeldungen (1) nach Büchereizweigstellen und BenutzerInnengruppen 2022;;;;;
Zweigstelle (2);Insgesamt;BenutzerInnengruppen;;;
;;"Kinder
 bis 14 Jahre";"Jugendliche
14–18 Jahre";Erwachsene;Institutionen
Neuanmeldungen insgesamt;38514;21030;4289;12487;708
2., Engerthstraße 197/5;726;541;29;150;6
2., Zirkusgasse 3;747;480;24;223;20
3., Erdbergstraße 5-7;1012;626;57;307;22
3., Fasangasse 35-37;470;345;13;101;11
3., Rabengasse 6;380;264;14;90;12
4., Favoritenstraße 8;910;599;40;262;9
5., Pannaschgasse 6;516;410;16;80;10
6., Gumpendorfer Straße 59-61;390;241;13;128;8
7., Bücherbus, Urban-Loritz-Platz 2a;2;–;–;2;–
7., Bücherei der Raritäten, Zieglergasse 49;31;4;–;7;20
7., Urban-Loritz-Platz 2a;12854;2527;2918;7302;107
9., Alserbachstraße 11;634;388;38;192;16
10., Ada-Christen-Gasse 2;493;395;24;62;12
10., Hasengasse 38;409;371;10;19;9
10., Laxenburger Straße 90a;870;708;59;93;10
11., Gottschalkgasse 10;1612;1215;137;238;22
11., Rosa-Jochmann-Ring 5/1;528;437;20;59;12
12., Am Schöpfwerk 29/7;425;355;12;51;7
12., Meidlinger Hauptstraße 73;1596;917;209;437;33
13., Preyergasse 1-7/EG/101 (3);617;416;21;172;8
14., Hütteldorfer Straße 130d;514;395;14;90;15
14., Linzer Straße 309;348;267;10;64;7
15., Hütteldorfer Straße 81a;666;572;7;33;54
15., Schwendergasse 39-43;457;332;12;94;19
16., Rosa-Luxemburg-Gasse 4;360;259;21;74;6
16., Schuhmeierplatz 17;387;312;20;47;8
17., Hormayrgasse 2;669;444;32;173;20
18., Weimarer Straße 8;623;449;11;135;28
19., Billrothstraße 32;743;480;37;208;18
19., Heiligenstädter Straße 155;491;386;8;84;13
20., Leystraße 53;477;395;17;59;6
20., Pappenheimgasse 10-16;580;406;32;123;19
21., Brünner Straße 138;528;400;27;86;15
21., Brünner Straße 27;1361;1025;68;241;27
21., Kürschnergasse 9;506;405;33;53;15
22., Bernoullistraße 1;884;541;107;224;12
22., Erzherzog-Karl-Straße 169 (4);–;–;–;–;–
22., Schüttaustraße 39;255;207;7;34;7
22., Barbara-Prammer-Allee 11 (4);1534;1155;44;311;24
23., Anton-Baumgartner-Straße 44;563;441;18;87;17
23., Breitenfurter Straße 358;1346;920;110;292;24
Quelle: Stadt Wien Bildung und außerschulische Jugendbetreuung.;;;;;
"(1) Neuanmeldungen wurden anhand neu ausgestellter Büchereikarten im Jahr 2019 erhoben.
(2) 7., Bücherei der Raritäten, Zieglergasse 49: fungiert nicht als eigene Zweigstelle.
(3) Bis 2021 unter der Adresse 13., Hofwiesengasse 48.
(4) Zweigstelle Erzherzog-Karl-Straße 169 wurde mit der Zweigstelle 22. Siegesplatz zu der neuen Bücherei ""Seestadt Aspern"" 2021 (Barbara-Prammer-Allee 11) zusammengelegt.";;;;;
