Büchereien Wien – Ausleihen nach Systematik und Geschlecht 2022;;;;;;;
"Systematik nach
Themengruppen";Insgesamt (1);Ausleihen;;;;;
;;Geschlecht;;;;Institutionen;
;;Männer;Frauen;Ohne Angabe;Divers;;
Ausleihen insgesamt;5175013;1871656;3197653;3816;975;100913;
Belletristik;682810;141417;526625;256;50;14462;
CD-ROMs und DVD-ROMs;2194;1263;901;–;–;30;
Compact Discs;89037;60721;26287;17;28;1984;
DVDs und Blu-ray Discs;517294;223421;284285;494;125;8969;
Fremdsprachige Literatur;237750;71842;160789;182;54;4883;
Hörbücher;367892;137957;225018;107;7;4803;
Kinder- und Jugendliteratur;1978426;821963;1114355;1379;136;40593;
Konsolenspiele;26771;14932;11336;107;7;389;
Sach- und Fachbücher;1135696;348327;762092;1234;561;23482;
Zeitschriftenexemplare;137143;49813;85965;40;7;1318;
Quelle: Stadt Wien Bildung und außerschulische Jugendbetreuung.;;;;;;;
(1) Physische Medien.;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;–
