Wiener Volkshochschulen 2021/22 – Kurse nach Kurskategorien und Volkshochschulen;;;;;;;;
Volkshochschule;Kurse nach Kurskategorien;;;;;;;
;Insgesamt;"Politik, 
Gesellschaft 
und Kultur";"Grundbildung 
und Zweiter 
Bildungsweg";"Naturwissen-
schaften, Technik 
und Umwelt";"berufliche und 
berufsorientierte 
Bildung";Sprachen;"Kreativität und 
Gestalten";"Gesundheit und 
Bewegung"
Insgesamt;14813;329;568;19;670;5308;3350;4569
Urania;745;28;–;3;4;376;89;245
Landstraße;806;22;–;–;6;382;110;286
Polycollege;857;17;110;6;80;166;335;143
Wien-West;797;38;10;–;44;254;163;288
Alsergrund, Währing, Döbling;1276;15;–;5;14;521;280;441
Favoriten;633;22;48;–;15;233;146;169
Simmering;684;17;2;–;33;129;168;335
Meidling;1204;14;95;–;284;423;213;175
Hietzing;744;31;–;4;13;325;95;276
Penzing;756;17;4;–;16;222;130;367
Rudolfsheim-Fünfhaus;330;15;–;–;26;108;65;116
Ottakring-Hernals;1107;14;102;–;7;374;187;423
Brigittenau;702;21;–;–;–;462;82;137
Floridsdorf;1155;7;182;–;77;466;144;279
Donaustadt;949;27;10;–;14;290;173;435
Liesing;991;15;5;1;12;236;276;446
Künstlerische Volkshochschule;713;1;–;–;25;–;687;–
Jüdisches Institut;67;1;–;–;–;51;7;8
Lateinamerika Institut (1);297;7;–;–;–;290;–;–
Quelle: Die Wiener Volkshochschulen GmbH.;;;;;;;;
(1) Neu seit dem Kursjahr 2021/22.;;;;;;;;
;;;;;;;;
