Wiener Volkshochschulen 2021/22 – BesucherInnen nach Kurskategorien und Volkshochschulen;;;;;;;;;;;;
Volkshochschule;BesucherInnen nach Kurskategorien;;;;;;;;;;;
;Insgesamt;"Politik, 
Gesellschaft 
und Kultur";Grundbildung und Zweiter Bildungsweg;"Naturwissen-
schaften, Technik 
und Umwelt";berufliche und berufsorientierte Bildung;Sprachen;Kreativität und Gestalten;Gesundheit und Bewegung;;;;
Insgesamt;101326;2114;5633;248;3736;33190;21423;34982;;;;
Urania;5094;163;–;26;24;2505;610;1766;;;;
Landstraße;6094;196;–;–;31;2676;869;2322;;;;
Polycollege;6092;73;1151;74;337;1075;2253;1129;;;;
Wien-West;5159;288;18;–;339;1525;973;2016;;;;
Alsergrund, Währing, Döbling;7979;85;–;64;46;3053;1956;2775;;;;
Favoriten;3989;147;324;–;72;1480;752;1214;;;;
Simmering;4222;121;6;–;203;745;952;2195;;;;
Meidling;8314;38;1120;–;1855;3071;1024;1206;;;;
Hietzing;4798;212;8;81;65;1943;469;2020;;;;–
Penzing;5409;114;22;–;80;1536;796;2861;;;;
Rudolfsheim-Fünfhaus;1956;109;–;–;26;661;347;813;;;;
Ottakring-Hernals;8386;86;1231;–;23;2301;1296;3449;;;;
Brigittenau;4247;96;–;–;–;2772;350;1029;;;;
Floridsdorf;8125;50;1724;–;327;2756;967;2301;;;;
Donaustadt;7192;152;10;–;63;1657;1389;3921;;;;
Liesing;7089;132;19;3;70;1550;1360;3955;;;;
Künstlerische Volkshochschule;5168;9;–;–;175;–;4984;–;;;;
Jüdisches Institut;495;10;–;–;–;399;76;10;;;;
Lateinamerika Institut (1);1518;33;–;–;–;1485;–;–;;;;
Quelle: Die Wiener Volkshochschulen GmbH.;;;;;;;;;;;;
(1) Neu seit dem Kursjahr 2021/22.;;;;;;;;;;;;
;;;;;;;;;;;;
