Glaubensangehörige nach Religionsbekenntnis und Gemeindebezirken 2022;;;;;
Gemeindebezirk;Religionsbekenntnis;;;;
;römisch-katholisch;altkatholisch;neuapostolisch;Mormonen;buddhistisch (1)
Wien;557785;3177;596;1337;1701
1. Innere Stadt;6334;36;2;11;32
2. Leopoldstadt;26665;157;23;96;150
3. Landstraße;28957;112;36;78;104
4. Wieden;10240;57;5;29;51
5. Margareten;13235;60;18;20;61
6. Mariahilf;8962;30;12;23;44
7. Neubau;9789;24;8;12;54
8. Josefstadt;8530;44;5;7;39
9. Alsergrund;13738;48;2;24;56
10. Favoriten;44870;296;39;108;96
11. Simmering;26936;176;28;66;49
12. Meidling;24170;132;13;51;75
13. Hietzing;22144;134;17;30;85
14. Penzing;30799;200;50;48;96
15. Rudolfsheim-Fünfhaus;17393;85;27;44;69
16. Ottakring;25260;156;27;44;71
17. Hernals;16528;98;14;29;48
18. Währing;18649;121;17;50;73
19. Döbling;27451;158;15;66;84
20. Brigittenau;18643;108;11;73;60
21. Floridsdorf;53794;344;81;146;99
22. Donaustadt;65914;385;117;196;128
23. Liesing;38784;216;29;86;77
Quelle: Religionsgemeinschaften und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;
(1) Registrierte Mitglieder 2022. Die Buddhistische Religionsgesellschaft schätzt, dass in Wien ca. 13.000 bekennende BuddhistInnen leben und teilte mit, dass ein Beitritt zur Religionsgesellschaft keine Voraussetzung für ein tatsächliches Bekenntnis zum Buddhismus darstellt.;;;;;
