Religionsaustritte nach Religionsgemeinschaften und Gemeindebezirken 2022;;;;;
Gemeindebezirk;Insgesamt;Religionsaustritte aus (der)…;;;
;;"römisch-katholischen
Kirche";"evangelischen
Kirche A.B.";"evangelischen
Kirche H.B.";"sonstigen Religions-
gemeinschaften"
Wien;15037;13480;1303;83;171
1. Innere Stadt;92;78;12;2;–
2. Leopoldstadt;825;740;70;4;11
3. Landstraße;837;750;83;2;2
4. Wieden;317;274;32;5;6
5. Margareten;562;506;47;5;4
6. Mariahilf;509;403;91;5;10
7. Neubau;410;384;20;–;6
8. Josefstadt;403;342;55;3;3
9. Alsergrund;585;539;42;1;3
10. Favoriten;598;519;68;3;8
11. Simmering;651;592;49;1;9
12. Meidling;361;329;15;5;12
13. Hietzing;520;457;49;11;3
14. Penzing;758;660;76;3;19
15. Rudolfsheim-Fünfhaus;587;537;44;1;5
16. Ottakring;757;688;57;4;8
17. Hernals;509;448;58;–;3
18. Währing;592;518;64;3;7
19. Döbling;615;568;39;6;2
20. Brigittenau;520;474;37;4;5
21. Floridsdorf;1359;1242;100;2;15
22. Donaustadt;1717;1566;122;7;22
23. Liesing;953;866;73;6;8
Quelle: Stadt Wien Wahlen und verschiedene Rechtsangelegenheiten.;;;;;
;;;;;
;;;;;
