Lohnsteuerpflichtige Einkommen nach Gemeindebezirken 2021 – Frauen;;;;;;
Gemeindebezirk;"Durchschnittlicher Jahresbezug
pro Arbeitnehmerin";;"Index des
durchschnittlichen
Nettobezuges pro
Arbeitnehmerin";"Durchschnittlicher Jahresbezug
pro Pensionistin";;"Index des
durchschnittlichen
Nettobezuges
pro Pensionistin"
;brutto;netto;;brutto;netto;
;EUR;;;EUR;;
Wien;31744,8072726964;22515,6115704305;100;26174,74;21591,01;100
1. Innere Stadt;44445,8881310276;29954,2837778517;133,03784213967486;34366,5229226241;27133,7647981497;125,6715864526472
2. Leopoldstadt;32280,9014709559;22718,068643637;100,89918531669993;24216,8145011358;20217,7307233968;93,63957834022956
3. Landstraße;35106,4652036297;24373,0228191212;108,24943725326128;27003,6724731978;22134,1135175601;102,51541506191745
4. Wieden;35463,2478877631;24439,4562470772;108,54449220989966;29904,0033186643;24077,6858089568;111,51718149802534
5. Margareten;30040,7008037626;21314,739321658;94,66649064798402;24345,2970753376;20320,0467164179;94,11346072470857
6. Mariahilf;34245,4035607321;23708,6871841802;105,29888166713867;27469,3663892807;22424,3746093089;103,85977594058315
7. Neubau;36135,8466504618;24825,0703743316;110,2571444558676;28110,5341989279;22844,3017837999;105,80469271145677
8. Josefstadt;38087,1465940193;25733,7854688292;114,29307788656777;31755,710255102;25249,4542201166;116,94429403773424
9. Alsergrund;35702,1860072175;24612,4240668086;109,31270505275468;29707,082947695;23870,487010195;110,55752838887575
10. Favoriten;27068,9395959802;19784,8588040108;87,87173620455432;23774,5575002076;19963,8733781652;92,4638234995269
11. Simmering;27920,0764158099;20385,9310243553;90,54131601349845;23128,2397553969;19567,3632982242;90,62736434388296
12. Meidling;28653,1214503921;20686,7311207368;91,87727837650411;24858,5681780132;20722,9250986589;95,97941503736463
13. Hietzing;38804,0852054082;26661,6767429364;118,41417968833181;31467,5703822892;25032,222865457;115,93817457106917
14. Penzing;33965,6259981163;23951,6947972687;106,37816664382412;27605,4263522701;22554,5310166445;104,46260279924147
15. Rudolfsheim-Fünfhaus;27284,9941217127;19804,3517807372;87,95831158655282;22491,9221728081;19082,6415717916;88,38234789290358
16. Ottakring;29466,6792589243;21147,3760117125;93,92316946649191;25034,9284311085;20831,3703939062;96,48168563631901
17. Hernals;30869,5856490403;21948,5969660876;97,48168242035426;27255,4146112723;22268,3554452421;103,13716424216423
18. Währing;36334,8092735146;25019,0566458183;111,11870786879065;30340,0959218676;24344,5366809592;112,7531166025082
19. Döbling;36611,825625562;25235,0030533076;112,07780421318176;30569,3420895255;24509,3902829006;113,51664550616485
20. Brigittenau;27449,7357366059;19915,9693994127;88,45404592770697;23298,3502615464;19634,3228022833;90,93749112377466
21. Floridsdorf;30465,1087121954;21926,1551878624;97,38201034102832;25090,6172906771;20935,0030557884;96,96166624807454
22. Donaustadt;32963,923812019;23454,137810095;104,16833554233567;25385,2661344575;21126,2337535678;97,8473621825371
23. Liesing;33478,9997296885;23747,5286938122;105,47139090372106;27447,340541172;22523,225956681;104,31761162021138
Quelle: Statistik Austria – Lohnsteuerstatistik.;;;;;;
;;;;;;
;;;;;;
