Beitragspflichtige Bruttomonatseinkommen am Arbeitsort nach Wirtschaftstätigkeiten 2021;;;;;;
"Abschnitt 
(ÖNACE 2008)";Bruttomonatseinkommen;;;;;
;Wien;;;Österreich;;
;25 %;50 %;75 %;25 %;50 %;75 %
;... der ArbeitnehmerInnen verdienen weniger als ... EUR;;;;;
WirtschaftskIassen insgesamt;2030;2978;4350;2013;2898;4000
Land- und Forstwirtschaft_ Fischerei;1313;1750;2074;1279;1747;2053
Bergbau und Gewinnung von Steinen und Erden;5476;6456;6475;3081;3740;4736
Herstellung von Waren;2701;3877;5505;2707;3527;4698
Energieversorgung;3569;4946;6361;3423;4841;6387
Wasserversorgung_ Abwasser- und Abfallentsorgung;2402;3234;4300;2301;2924;3717
Bau;2445;3047;3805;2636;3240;3917
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;1826;2565;3899;1775;2468;3458
Verkehr und Lagerei;2029;3009;3806;2093;2827;3567
Beherbergung und Gastronomie;1294;1848;2234;1399;1950;2453
Information und Kommunikation;3062;4478;6043;2833;4142;5687
Erbringung von Fiz- und Versicherungsdienstleistungen;3236;4881;6457;2730;4158;5882
Grundstücks- und Wohnungswesen;1654;2822;4188;1643;2680;3949
"Erbringung von freiberuflichen, wissenschaftlichen und
technischen Dienstleistungen";2151;3367;4980;2026;3150;4632
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;1707;2248;2998;1810;2444;3062
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;2607;3439;4562;2313;3194;4243
Erziehung und Unterricht;1732;2653;3660;1468;2516;3513
Gesundheits- und Sozialwesen;1746;2509;3350;1652;2405;3321
Kunst, Unterhaltung und Erholung;1650;2708;4028;1493;2397;3513
Erbringung von sonstigen Dienstleistungen;1633;2486;3923;1478;2119;3325
Private Haushalte;1000;1497;2252;989;1459;2193
Exterritoriale Organisationen und Körperschaften;2940;3786;5070;2935;3785;5070
Wirtschaftsklasse nicht bekannt;1977;2972;4749;1800;3006;5003
Quelle: Dachverband der Sozialversicherungsträger.;;;;;;
;;;;;;
;;;;;;
