Beitragspflichtige Bruttomonatseinkommen am Arbeitsort Wien nach Wirtschaftstätigkeiten und Geschlecht 2021;;;;;;
"Abschnitt 
(ÖNACE 2008)";Bruttomonatseinkommen;;;;;
;Männer;;;Frauen;;
;25 %;50 %;75 %;25 %;50 %;75 %
;... der ArbeitnehmerInnen verdienen weniger als ... EUR;;;;;
WirtschaftskIassen insgesamt;2267;3230;4840;1840;2692;3883
Land- und Forstwirtschaft_ Fischerei;1498;1755;2216;1226;1721;1871
Bergbau und Gewinnung von Steinen und Erden;;;;;;
Herstellung von Waren;3015;4196;5840;2121;3156;4611
Energieversorgung;3958;5371;6472;2947;3987;5516
Wasserversorgung_ Abwasser- und Abfallentsorgung;2472;3269;4265;2105;3126;4557
Bau;2507;3077;3813;1638;2615;3733
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;2097;2921;4605;1633;2242;3359
Verkehr und Lagerei;2033;3027;3797;2000;2921;3857
Beherbergung und Gastronomie;1466;1907;2359;1139;1726;2082
Information und Kommunikation;3501;5005;6381;2485;3650;5060
Erbringung von Fiz- und Versicherungsdienstleistungen;3779;5673;6475;2919;4230;5678
Grundstücks- und Wohnungswesen;1822;3069;4781;1526;2608;3827
"Erbringung von freiberuflichen, wissenschaftlichen
und technischen Dienstleistungen";2492;3979;5890;1946;3000;4228
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;1987;2489;3186;1445;1925;2571
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;2783;3749;5067;2520;3308;4317
Erziehung und Unterricht;1673;2890;4459;1749;2597;3355
Gesundheits- und Sozialwesen;1720;2571;3499;1752;2482;3295
Kunst, Unterhaltung und Erholung;1888;2970;4432;1447;2385;3595
Erbringung von sonstigen Dienstleistungen;1831;2926;4669;1545;2254;3571
Private Haushalte;825;1458;2263;1050;1500;2251
Exterritoriale Organisationen und Körperschaften;3220;3898;5294;2789;3660;4832
Wirtschaftsklasse nicht bekannt;2051;3292;5239;1867;2776;4277
Quelle: Dachverband der Sozialversicherungsträger.;;;;;;
;;;;;;
;;;;;;
