Naturdenkmäler in Wien nach Typen seit 1990;;;;
Jahr;Insgesamt;Naturdenkmäler;;
;;Einzel-Naturdenkmäler (1);Gruppen-Naturdenkmäler (2);Flächige Naturdenkmäler (3)
1990;435;345;55;35
1991;438;347;55;36
1992;438;347;54;37
1993;435;344;54;37
1994;437;346;54;37
1995;438;347;54;37
1996;436;345;54;37
1997;434;341;54;39
1998;431;339;54;38
1999;431;339;54;38
2000;430;339;53;38
2001;431;340;53;38
2002;424;333;53;38
2003;427;335;53;39
2004;426;334;53;39
2005;427;335;51;41
2006;423;331;50;42
2007;429;333;53;43
2008;428;332;53;43
2009;430;335;52;43
2010;436;341;52;43
2011;436;341;52;43
2012;438;344;51;43
2013;440;344;54;42
2014;440;344;54;42
2015;430;335;53;42
2016;431;335;54;42
2017;424;328;54;42
2018;424;328;54;42
2019;426;329;54;43
2020;427;330;54;43
2021;426;327;55;44
2022;426;327;55;44
Quelle: Stadt Wien Umweltschutz.;;;;
"(1) Einzelbäume. Bis zu 4 Bäume mit gleicher Baumart werden als Einzel-Naturdenkmal ausgewiesen.
(2) Baumgruppen ab 4 Bäumen, Baumzeilen und Alleen.
(3) Wälder, Wiesen, Standorte besonderer Pflanzen-/Tiergemeinschaften, Gewässer, Geologischer Aufschluss sowie Objekte kulturhistorischer Bedeutung
(z. B. Oberes Mühlwasser, Urwald am Johannser Kogel im Lainzer Tiergarten u. a.).";;;;
