Naturdenkmäler nach Typen und Gemeindebezirken 2022;;;;
Gemeindebezirk;Insgesamt;Naturdenkmäler;;
;;Einzel-Naturdenkmäler *;Gruppen-Naturdenkmäler **;Flächige Naturdenkmäler ***
Wien;426;327;55;44
1. Innere Stadt;12;11;–;–
2. Leopoldstadt;19;14;4;1
3. Landstraße;9;8;–;1
4. Wieden;5;5;–;–
5. Margareten;8;7;–;1
6. Mariahilf;2;2;–;–
7. Neubau;6;5;–;1
8. Josefstadt;5;5;–;–
9. Alsergrund;10;8;2;–
10. Favoriten;13;7;1;5
11. Simmering;9;5;4;–
12. Meidling;12;8;3;1
13. Hietzing;66;56;6;4
14. Penzing;43;29;7;7
15. Rudolfsheim-Fünfhaus;6;4;2;–
16. Ottakring;4;2;–;1
17. Hernals;17;11;4;2
18. Währing;25;23;2;2
19. Döbling;82;67;9;6
20. Brigittenau;3;1;2;–
21. Floridsdorf;13;10;–;3
22. Donaustadt;12;9;–;3
23. Liesing;45;30;9;6
Quelle: Stadt Wien Umweltschutz.;;;;
"* Einzelbäume. Bis zu 4 Bäume mit gleicher Baumart werden als Einzel-Naturdenkmal ausgewiesen.
** Baumgruppen ab 4 Bäumen, Baumzeilen und Alleen.
*** Wälder, Wiesen, Standorte besonderer Pflanzen-/Tiergemeinschaften, Gewässer, Geologischer Aufschluss sowie Objekte kulturhistorischer Bedeutung
(z. B. Oberes Mühlwasser, Urwald am Johannser Kogel im Lainzer Tiergarten u. a.).";;;;
