Gemeindestraßen in Wien seit 2006;;;;;
Jahr;Insgesamt;Gesamtlänge;Gemeindestraßen;;
;;;Gesamtfläche;unbefestigte Flächen  bzw. Grünflächen;"befestigte,
ausgebaute Flächen"
;;;;;
;;;;;
;;m;m²;;
2006;6793;2747781;40121365;5854145;34267220
2007;6796;2751080;40166563;5842976;34323587
2008;6802;2753690;40232259;5838771;34393488
2009;6815;2756339;40275502;5801662;34473840
2010;6828;2758655;40328498;5781057;34547441
2011;6842;2762900;40472245;5747975;34724270
2012;6855;2765291;40517832;5723543;34794289
2013;6870;2770823;40673964;5727329;34946635
2014;6876;2773523;40761509;5677410;35084099
2015;6884;2776539;40866442;5647685;35218757
2016;6904;2782159;41009138;5649425;35359713
2017;6906;2783582;41062448;5633468;35428980
2018;6910;2786219;41147664;5605667;35541997
2019;6912;2786679;41171498;5585992;35585506
2020;6916;2788279;41238931;5557605;35681326
2021;6930;2792932;41355116;5563680;35791436
2022;6947;2797895;41440207;5562535;35877672
Quelle: Stadt Wien Straßenverwaltung und Straßenbau.;;;;;
;;;;;
