Städtische Parkanlagen in Wien 2023 (1);;;;;;
Gemeindebezirk;Insgesamt (2);Öffentlich zugängliche städtische Parkanlagen (3);;;;
;;Fläche (4);Baumbestand;Wechselflorflächen (5);;Bänke
;;m²;;abs.;m²;
Wien;1009;13243462,899999997;201084;404;11166,329999999998;20124
1. Innere Stadt;26;167862,55;1570;44;803,3900000000001;1182
2. Leopoldstadt (6);48;3564419,4799999986;77755;5;125,15;1591
3. Landstraße;39;468121,39999999997;4322;38;903,2099999999999;904
4. Wieden;17;82654,24;656;19;363,07000000000005;518
5. Margareten;25;91168,51000000001;932;1;24,73;415
6. Mariahilf;12;41031,420000000006;470;3;58,82;338
7. Neubau;17;37996,31999999999;354;1;150,38;318
8. Josefstadt;11;22468,75;319;4;35,79;175
9. Alsergrund;27;157344,54000000004;1549;8;274,12;415
10. Favoriten;83;2105919,9199999995;33878;42;1437,5900000000001;2536
11. Simmering;49;389859,4499999999;4027;33;442,15;1080
12. Meidling;56;271156,34;3093;3;53,36;881
13. Hietzing;48;505114,7100000001;12655;9;191,62;578
14. Penzing;50;341166,0300000001;4539;9;140,48;669
15. Rudolfsheim-Fünfhaus;43;233250,16;2362;12;245,46;751
16. Ottakring;35;137343,97;1720;8;205,37;616
17. Hernals;28;88318,19999999998;1347;2;46,46;363
18. Währing;23;620152,75;6495;18;359,06;1291
19. Döbling;59;437233,9400000001;6460;10;251,69;779
20. Brigittenau;28;221338,68;1666;5;105,21000000000001;923
21. Floridsdorf;108;857540,4800000002;9138;14;650,87;1122
22. Donaustadt;104;1810774,71;15729;105;3951,47;1858
23. Liesing;73;591226,3499999996;10048;11;346,88;821
Quelle: Stadt Wien Wiener Stadtgärten.;;;;;;
"(1) Zum Stichtag: 14. 4. 2023.
(2) Die Anzahl der städtischen Parkanlagen, die über mehrere Bezirke gehen, wurde dem Bezirk zugeordnet, in dem mehr Fläche der städtischen Parkanlage liegt.
(3) Park- und Grülagen. 
(4) Die Fläche der städtischen Parkanlagen, die über mehrere Bezirke gehen, wurde dem Bezirk zugeordnet, in dem die Fläche liegt, auch wenn die Anzahl diesem Bezirk nicht zugeordnet wurde.
(5) Bepflanzte Blumenbeete bzw. Pflanzgefäße in städtischen Parkanlagen, die mehrmals im Jahr neu bepflanzt werden.
(6) Der Prater wurde als eine Anlage gezählt.";;;;;;
;;;;;;
