Spielplätze nach Typen, Spielflächen und Gemeindebezirken 2023 (1);;;;;;;;;;;;;
Gemeindebezirk;Standorte (2);Spielplätze;;;Spielplätze nach Typen;;;;;;;;
;;insgesamt;Fläche;Anteil an der Bezirksfläche;Kleinkinderspielplätze;;Ballspielplätze;;Sonstige Spielplätze (3);;;;
;;;m²;%;abs.;m²;abs.;m²;abs.;m²;;;
Wien;569;1718;955526,9600000001;–;325;133552,39;663;222421,33999999997;730;599553,23;;;
1. Innere Stadt;5;11;3914,91;0,14;3;2126,71;6;654,71;2;1133,49;;;
2. Leopoldstadt;26;116;153426,83000000002;0,8;25;7247,400000000001;41;11900,05;50;134279,38000000003;;;
3. Landstraße;20;63;24458,129999999994;0,33;10;3721,12;25;5833,709999999999;28;14903,3;;;
4. Wieden;11;34;8221,730000000001;0,46;10;2109,3599999999997;9;2071,09;15;4041,2800000000007;;;
5. Margareten;15;56;13076,359999999999;0,65;11;2678,3900000000003;24;4750,82;21;5647,149999999999;;;
6. Mariahilf;10;37;10249,310000000001;0,7;7;2647,36;12;2017,9799999999998;18;5583,97;;;
7. Neubau;12;46;8967,15;0,56;9;2614,87;17;2671,7599999999998;20;3680,52;;;
8. Josefstadt;5;18;5766,969999999999;0,53;6;2158,07;9;1980,01;3;1628,8899999999999;;;
9. Alsergrund;15;43;18234,1;0,61;14;6120,7300000000005;15;3210,7499999999995;14;8902,619999999999;;;
10. Favoriten;55;186;107349,43000000001;0,34;28;11291,869999999999;82;28555,58;76;67501,98;;;
11. Simmering;32;99;41968,83;0,18;21;14886,57;41;11746,579999999998;37;15335,68;;;
12. Meidling;31;87;36183,27;0,45;9;2120,1899999999996;32;9870,469999999998;46;24192,609999999993;;;
13. Hietzing;22;44;38735,32;0,1;14;6206,18;14;6529,34;16;25999,8;;;
14. Penzing;22;65;33270,39;0,1;13;5382,0199999999995;24;10852,800000000001;28;17035,570000000007;;;
15. Rudolfsheim-Fünfhaus;31;84;30373,88;0,78;13;6164,61;34;6512,009999999999;37;17697,260000000002;;;
16. Ottakring;27;76;20939,54;0,24;17;5109,259999999999;29;6539,879999999999;30;9290,4;;;
17. Hernals;15;39;11819,57;0,1;15;5336,669999999999;12;3612,16;12;2870,7400000000002;;;
18. Währing;15;54;21198,5;0,33;13;4525,21;21;5615,290000000001;20;11058;;;
19. Döbling;27;67;38825,21;0,16;17;10369,060000000001;21;4989,400000000001;29;23466,749999999996;;;
20. Brigittenau;20;58;33748,31;0,59;11;4145,289999999999;23;8370,429999999998;24;21232,59;;;
21. Floridsdorf;54;144;97622,79;0,22;16;5285,820000000001;54;30489,619999999995;74;61847,34999999999;;;
22. Donaustadt;69;200;148308,28999999998;0,14;24;11665,810000000001;86;38057,169999999984;90;98585,31;;;
23. Liesing;30;91;48868,14;0,15;19;9639,82;32;15589,73;40;23638,59;;;
Quelle: Stadt Wien Wiener Stadtgärten.;;;;;;;;;;;;;
"(1) Zum Stichtag: 14. 4. 2023 (nur von der Stadt Wien Wiener Stadtgärten betreute Spielplätze).
(2) Die Zahl der Standorte der Spielplätze ist geringer als die Zahl der Spielplätze insgesamt, weil es an einem Standort auch mehrere Spielplatztypen geben kann. Prater als ein Standort. 
(3) Sonstige Spielplätze = Skaterparks, Kinderspielplätze, Themenspielplätze, Generationenspielplätze und reine Wasserspielplätze. Inklusive 8 reiner Wasserspielplätze mit einer Fläche von 9.025,02 m².";;;;;;;;;;;;;
;;;;;;;;;;;;;
