Städtische Sportanlagen, Sporthallen und Schulturnsäle nach Gemeindebezirken 2022;;;;;;
Gemeindebezirk;Großsportanlagen (1);;"Sporthallen in Verwaltung
der Stadt Wien";;Schulturnsäle, Gym.- und Bewegungsräume im Besitz der Stadt Wien;
;abs.;m² Grundfläche;abs.;m² Grundfläche;abs.;m²
Wien;148;3408634;17;62534;593;132405
1. Innere Stadt;–;–;–;–;3;406
2. Leopoldstadt;16;1073778;2;15185;41;8215
3. Landstraße;7;68510;–;–;25;4614
4. Wieden;–;–;–;–;8;1436
5. Margareten;2;2051;1;6385;11;1748
6. Mariahilf;–;–;1;–;8;1182
7. Neubau;–;–;–;–;11;2271
8. Josefstadt;1;1268;–;–;5;1085
9. Alsergrund;–;–;–;–;10;1509
10. Favoriten;16;416595;1;3626;60;14173
11. Simmering;10;207450;1;3609;35;8849
12. Meidling;5;52424;–;–;32;5477
13. Hietzing;2;16191;–;–;14;3219
14. Penzing;9;183249;–;–;27;6857
15. Rudolfsheim-Fünfhaus;3;45473;1;4173;29;4266
16. Ottakring;3;85851;1;3884;25;4305
17. Hernals;2;35108;–;–;18;2923
18. Währing;2;15171;–;–;15;2003
19. Döbling;13;131886;–;–;14;2448
20. Brigittenau;3;90680;1;6804;27;6064
21. Floridsdorf;17;249333;2;4620;61;15911
22. Donaustadt;25;498527;3;9124;74;22209
23. Liesing;12;235089;3;5124;40;11235
Quelle: Stadt Wien Sport Wien.;;;;;;
(1) Alle Sportanlagen über 1.000 m² Fläche, inklusive Betriebsführungsverträge, inklusive Spielplätze und Jugendsportanlage in Verwaltung der Stadt Wien Sport Wien.;;;;;;
;;;;;;
