Öffentlich Bedienstete im Magistrat der Stadt Wien nach Geschlecht seit 2001;;;;;;;;;
Jahr *;Insgesamt;Beschäftigte zum 31.12.;;;;;;;
;;Geschlecht;;Beamtinnen und Beamte;;;Vertragsbedienstete;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen
2001;59934;23872;36062;28495;13329;15166;31439;10543;20896
2002;30584;15789;14795;16602;9440;7162;13982;6349;7633
2003;30239;15581;14658;16082;9044;7038;14157;6537;7620
2004;29647;15325;14322;15407;8771;6636;14240;6554;7686
2005;29726;15163;14563;15121;8568;6553;14605;6595;8010
2006;29573;14933;14640;14752;8292;6460;14821;6641;8180
2007;29449;14855;14594;14228;7974;6254;15221;6881;8340
2008;28991;14467;14524;13724;7686;6038;15267;6781;8486
2009;28796;14008;14788;12965;7086;5879;15831;6922;8909
2010;29356;13974;15382;12560;6917;5643;16796;7057;9739
2011;28962;12893;16069;12602;6771;5831;16360;6122;10238
2012;29120;12898;16222;12295;6603;5692;16825;6295;10530
2013;29238;12932;16306;11898;6406;5492;17340;6526;10814
2014;29478;12991;16487;11643;6300;5343;17835;6691;11144
2015;29843;13054;16789;11371;6178;5193;18472;6876;11596
2016;30219;13195;17024;10989;5974;5015;19230;7221;12009
2017;30222;13242;16980;10596;5761;4835;19626;7481;12145
2018;30681;13480;17201;10345;5674;4671;20336;7806;12530
2019;31093;13585;17508;9833;5373;4460;21260;8212;13048
2020;31866;13869;17997;9370;5120;4250;22496;8749;13747
2021;32487;14064;18423;8824;4845;3979;23663;9219;14444
2022;32882;14220;18662;8227;4548;3679;24655;9672;14983
Quelle: MD – Geschäftsbereich Personal und Revision/Gruppe Personalwirtschaft und Förderungen.;;;;;;;;;
geänderte Zahlen ab 2011 lt. MD-PR;;;;;;;;;
Quelle: MD – Geschäftsbereich Personal und Revision/Gruppe Strategisches Personalcontrolling.;;;;;;;;;
