Gesamtenergiebilanz in Wien seit 2014;;;;;;;
Bilanzschema;Berichtsjahr;;;;;;
;2015;2016;2017;2018;2019;2020;2021,0
;Terajoule;;;;;;
Bruttoinlandsverbrauch;;;;;;;
Insgesamt;149770,38044348964;152810,3499862308;155953,4676208527;152469,83272271577;152975,1089620155;143858,51662487883;149281,11712428322
Inländische Erzeugung von Rohenergie;20664,131985533204;21314,89546725835;20661,48482919066;19940,745709342344;20079,969127334985;19971,984778173264;21396,463037971764
+ Importe;131221,23150553321;133893,54761994144;137518,3772245609;134653,22680852274;135526,0293983498;126637,72802029306;130002,92717734646
± Lager;–;–;–;–;–;-247,09686540090084;813,1421847019834
– Exporte;2114,9807670143377;2398,093100968964;2226,394432898875;2124,1397951493086;2630,8895636692605;2504,0993081865663;2931,4152757370043
Energetischer Endverbrauch;;;;;;;
Insgesamt;131726,31276231696;135159,38890456292;136587,60494783084;134042,17798935145;132700,37228108585;125537,29847074852;132225,98242889924
Bruttoinlandsverbrauch;149770,38044348964;152810,3499862308;155953,4676208527;152469,83272271577;152975,1089620155;143858,51662487883;149281,11712428322
– Umwandlungseinsatz;50303,67664942023;52905,483135560055;56494,615076320704;54899,51142027872;60944,93955567016;58867,8758517988;58838,882297650955
+ Umwandlungsausstoß;39140,00954330218;41716,5259994958;43419,68399616456;42975,16430523139;47152,450178729705;46621,57777534345;47630,717727433395
– Verbrauch des Sektors Energie;2281,8339288;2317,223066657143;2225,851066052758;2434,8336280927556;2536,8222128400025;2125,727996423577;1745,2478126938993
– Transportverluste;4484,241943135161;4019,7135765188086;3945,576173120575;3941,3018420319645;3780,239566754841;3794,33967848632;3940,7791791277605
– Nichtenergetischer Verbrauch;114,32629018379514;125,06730242766486;119,50435369235004;127,17214856948706;165,185524394424;154,85240276511396;160,9431333447768
Quelle: Statistik Austria – Energiestatistik (Revision 2021).;;;;;;;
;;;;;;;
;;;;;;;
