Straßenkanäle und Abwasserreinigung in Wien seit 2000;;;;;;
Jahr;Straßenkanäle;"Gereinigte
Abwassermengen";Auf Ableerplätze geführter Aushub (1);Behobene Hauskanalverstopfungen;Senkgruben;
;;;;;"Räumungen durch
die Stadt Wien";entsorgtes Abwasser
;km;1.000 m³;t;abs.;abs.;m³
2000;1975;224451;3798;2344;37360;251453
2001;1983,11;202478;3798;2139;35168;226766
2002;2002,239;217349;5458;2364;19955;141974
2003;2023,518;204141;4995;2023;17407;124292
2004;2038,0485;202666;4353;1977;16082;115274
2005;2053,357;197048;4820;1838;15491;114209
2006;2064;202086;3725;1875;17085;122390
2007;2077,7;198987;5643,57;1159;28251;169248
2008;2088;205025;4959;3368;36166;213842
2009;2384,753;223461;4377;2871;37313;210974
2010;2396,353;220022;3731;2693;35220;202009
2011;2407;197558;4019;2134;31964;178279
2012;2419;191373;4487;1692;29389;158519
2013;2430;207600;3976;1132;27347;134571
2014;2440;201359;4075;1189;27959;126711
2015;2450;202030;3452;930;25240;110757
2016;2459;200035;3636;1032;20735;89442
2017;2460;193389,687;4495;1111;19272;83827
2018;2468;196000;4888;1007;17940;77939
2019;2475;205000;4988;496;14836;66362
2020;2486;196000;4018;391;13983;59307
2021;2495;195000;4982;446;10441;46048
2022;2498;184210;3984;477;8494;37745
Quelle: Wien Kanal.;;;;;;
(1) Abgelagertes Material aus den öffentlichen Straßenkanälen.;;;;;;
;;;;;;
;;;;;;
