Wahlen zum Europäischen Parlament – Stimmeteile der Parteien nach Gemeindebezirken 2019;;;;;;;
Gemeindebezirk;Europawahl;;;;;;
;SPÖ;ÖVP;GRÜNE;FPÖ;NEOS *;KPÖ **;EUROPA ***
;%;;;;;;
Wien;30,31;21,39;20,83;14,4;10,24;1,26;1,57
1. Innere Stadt;18,73;35,58;18,6;9,56;15,01;0,75;1,77
2. Leopoldstadt;30,82;15,73;28,73;10,82;10,61;1,69;1,61
3. Landstraße;27,09;21,49;25,65;10,47;12,08;1,47;1,74
4. Wieden;24,08;22,58;28,72;7,63;13,45;1,42;2,13
5. Margareten;30,3;15,82;29,66;9,5;10,96;1,87;1,89
6. Mariahilf;24,92;18,08;32,81;7,66;12,85;1,65;2,03
7. Neubau;23,58;16,61;36,99;6,1;13;1,58;2,13
8. Josefstadt;22,33;22,02;31,74;6,97;13,4;1,5;2,03
9. Alsergrund;23,99;20,69;30,56;7,6;13,64;1,53;1,99
10. Favoriten;38,9;18,76;12,74;20,06;7,12;1,1;1,32
11. Simmering;37,76;17,92;11,04;24,01;7,03;1,08;1,16
12. Meidling;33,49;20,27;19,34;14,98;8,93;1,4;1,6
13. Hietzing;21,52;32,88;18,82;10,74;13,77;0,8;1,47
14. Penzing;28,17;23,5;21,63;13,17;10,81;1,17;1,55
15. Rudolfsheim-Fünfhaus;32,17;15,02;28,92;11,54;8,32;2,11;1,93
16. Ottakring;31,36;18,34;25,29;12,89;8,78;1,76;1,6
17. Hernals;25,68;21,8;27,33;11,03;11;1,5;1,67
18. Währing;20,51;26,16;28,7;8,01;13,96;1,02;1,64
19. Döbling;23,78;31,99;17,65;11,13;13,11;0,83;1,51
20. Brigittenau;36,42;16,61;20,9;14,81;8,02;1,51;1,73
21. Floridsdorf;34,08;21,39;13,05;21,42;7,74;0,99;1,34
22. Donaustadt;33,98;20,42;14,19;19,71;9,3;0,98;1,43
23. Liesing;30,29;25,46;15,17;16,53;10,45;0,83;1,26
Österreich;;;;;;;
Stimmeteile;23,9;34,6;14,1;17,2;8,4;0,8;1
Quelle: Landeswahlbehörde Wien und Bundeswahlbehörde.;;;;;;;
"* NEOS = NEOS – Das Neue Europa.
** KPÖ = European Left, offene Liste.
*** EUROPA = EUROPA Jetzt – Initiative Johannes Voggenhuber.";;;;;;;
;;;;;;;
