Arbeitsstätten und Beschäftigte in Wien nach Geschlecht und Wirtschaftstätigkeiten 2021;;;;
"Abschnitt und ausgewählte Abteilung
(ÖNACE 2008)";Arbeitsstätten;Beschäftigte;;
;;insgesamt;Geschlecht;
;;;Männer;Frauen
Insgesamt;164686;1143427;606852;536575
Land- und Forstwirtschaft;1120;2458;1393;1065
Bergbau;26;184;119;65
Herstellung von Waren;4017;56982;40232;16750
Nahrungs- und Futtermittel;541;8613;5171;3442
Elektrische Ausrüstungen;101;5297;3873;1424
Reparatur/Installation v. Maschinen;313;7142;5911;1231
Pharmazeutische Erzeugnisse;139;5563;3156;2407
Maschinenbau;132;4444;3595;849
Metallerzeugnisse;419;3527;2701;826
Sonstige Waren;609;3490;1955;1535
Kraftwagen und -teile;81;2163;1982;181
Datenverarbeitungsgeräte;215;2188;1715;473
Chemische Erzeugnisse;120;2100;1305;795
Rest;1347;12455;8868;3587
Energieversorgung;119;5435;3919;1516
Wasserversorgung und Abfallentsorgung;123;4854;4263;591
Abfallbehandlung;99;4164;3697;467
Beseitigung v. Umweltverschmutzungen;4;20;17;3
Rest;20;670;549;121
Bau;7503;66691;59169;7522
Sonst. Bautätigkeiten;6195;39633;34885;4748
Hochbau;1209;23103;20600;2503
Tiefbau;99;3955;3684;271
Handel;22777;144981;72290;72691
Einzelhandel;14087;79752;30864;48888
Großhandel;6908;53025;31445;21580
Kfz-Handel und -reparatur;1782;12204;9981;2223
Verkehr;5434;51035;41619;9416
Landverkehr;4439;32051;27589;4462
Dienstleistungen für den Verkehr;555;11586;8709;2877
Post- und Kurierdienste;383;7078;5110;1968
Luftfahrt;46;202;119;83
Schifffahrt;11;118;92;26
Beherbergung und Gastronomie;8505;64449;36226;28223
Information und Kommunikation;11265;71515;48765;22750
IT-Dienstleistungen;6028;34301;25336;8965
Informationsdienstleistungen;2504;14513;10201;4312
Telekommunikation;150;6996;4675;2321
Rest;2583;15705;8553;7152
Fiz- und Versicherungsleistungen;4321;45964;23724;22240
Grundstücks- und Wohnungswesen;5757;20686;9689;10997
Freiberufliche/techn. Dienstleistungen;35982;121660;61671;59989
Unternehmensführung, -beratung;12264;36972;20693;16279
Rechtsberatung und Wirtschaftsprüfung;6346;26136;9675;16461
Architektur- und Ingenieurbüros;5026;20712;13028;7684
Werbung und Marktforschung;5344;18250;8505;9745
Rest;7002;19590;9770;9820
Sonst. wirtschaftl. Dienstleistungen;7924;102097;56887;45210
Öffentliche Verwaltung;488;97153;46399;50754
Erziehung und Unterricht;5531;96527;36152;60375
Gesundheits- und Sozialwesen;21189;124521;34566;89955
Kunst, Unterhaltung und Erholung;9351;29435;15725;13710
Sonst. Dienstleistungen;13254;36800;14044;22756
Quelle: Statistik Austria – Arbeitsstättenzählung 2021.;;;;
;;;;
;;;;
