Rebflächen in Wien nach Weinsorten 2023 (1);;
Weinsorte;Rebflächen in Wien zum Stichtag 30. 6.;
;m²;%
Rebflächen insgesamt;6022872;100
Weißweinsorten;5033599;83,57472979668171
Bouvier;9365;0,15549060315410987
Chardonnay;252283,99999999997;4,188765758262835
Donauriesling;11149;0,1851110234452932
Donauveltliner;12908,000000000002;0,21431635937140958
Frühroter Veltliner;14085;0,23385853127876535
Gelber Muskateller;93432,99999999997;1,5513030992523162
Gemischter Satz weiß;143769,00000000003;2,3870505632528802
Gewürztraminer;35000,99999999999;0,5811347144684462
Grauer Burgunder;31677,999999999996;0,5259617006637365
Grüner Veltliner;990040,0000000012;16,43800499163856
Müller Thurgau;64414;1,0694897716571097
Neuburger;30599,000000000004;0,5080466594674435
Rheinriesling;486099,99999999994;8,070900394363353
Roter Traminer;18300;0,3038417552290668
Sauvignon Blanc;86748,99999999999;1,440326143407995
Weißer Burgunder;268731;4,461841460353134
Welschriesling;107285,99999999997;1,7813096476232595
Wiener Gemischter Satz;2305452,999999999;38,27829978787527
sonstige Weißweinsorten;72255;1,1996768319167335
Rotweinsorten;989273,0000000001;16,425270203318288
Blauburger;56047,99999999999;5,665574618937339
Blauer Burgunder;196762,99999999994;19,889656343597764
Blauer Portugieser;29024,000000000004;2,9338716410940155
Blaufränkisch;34741,00000000001;3,511770764996114
Cabernet Franc;28389,999999999996;2,869784174843546
Cabernet Sauvignon;75867;7,668964987420054
Gemischter Satz rot;35974,00000000001;3,636407745890164
Merlot;100710,00000000001;10,180203037988504
Roesler;19388;1,95982302155219
St. Laurent;55648;5,625140886287202
Syrah;12792,000000000002;1,2930707701514144
Zweigelt;337791,0000000001;34,14537746405695
sonstige Rotweinsorten;6137;0,6203545431847426
Quelle: Stadt Wien Wasserrecht.;;
(1) Stichtag: 30. 6.;;
;;
