Rebflächen in Wien nach Katastralgemeinden 2023;;;
"Gemeindebezirk
Katastralgemeinde(1)";Anzahl der Schläge in Wien;Fläche;
;;m²;%
Insgesamt;1915;5033599;100
10. Favoriten;79;188745,99999999997;3,749722613978586
Oberlaa-Stadt;79;188745,99999999997;3,749722613978586
13. Hietzing;2;1002;0,01990623408817429
Schönbrunn;2;1002;0,01990623408817429
16. Ottakring;38;41681,00000000001;0,8280556317656612
Ottakring;38;41681,00000000001;0,8280556317656612
17. Hernals;13;74797;1,4859546817297127
Dornbach;13;74797;1,4859546817297127
19. Döbling;897;2565702,9999999995;50,9715414358593
Grinzing;186;636824,9999999999;12,6514845540934
Heiligenstadt;87;285596,99999999994;5,673813110658993
Josefsdorf;6;19865;0,3946480440734353
Kahlenbergerdorf;45;136713;2,71600896297063
Neustift am Walde;146;306856,99999999994;6,096174923747401
Nussdorf;276;875638,9999999998;17,395883144445946
Obersievering;101;177350,99999999997;3,52334383410359
Pötzleinsdorf;1;9803;0,19475131014608035
Salmannsdorf;11;14553;0,2891171903045912
Untersievering;38;102499,99999999999;2,0363163613152335
21. Floridsdorf;743;1781118,0000000002;35,38458268129821
Stammersdorf;735;1769152,0000000002;35,146860129303114
Strebersdorf;8;11966,000000000002;0,23772255199510334
22. Donaustadt;7;26268,000000000004;0,521853250527108
Breitenlee;6;24995,000000000004;0,4965631946446271
Süßenbrunn;1;1273;0,025290055882480903
23. Liesing;136;354284,0000000001;7,038383470753234
Kalksburg;14;43378,99999999999;0,8617889506096928
Liesing;39;109173,00000000003;2,1688855230621273
Mauer;79;197304,0000000001;3,9197401302725963
Rodaun;4;4428;0,0879688668088181
Quelle: Stadt Wien Wasserrecht;;;
(1) Stand: 30. Juni 2023;;;
"Anmerkung: Der Unterschied des Flächenausmaßes der Rebflächen nach Katastralgemeinden von den Rebflächen nach Weinsorten liegt darin, dass bei den Flächegaben nach Katastralgemeinden auch Flächen von gepflanzten aber noch nicht im Ertrag stehenden („Rodung abgelaufen“), sowie von gerodeten und noch in Besitz des Eigentümers stehenden Rebflächen und von verwilderten Rebflächen mit einbezogen wurden.
Rundungsdifferenzen nicht ausgeglichen.";;;
