Wildabschuss und Fallwild in den Jagdgebieten (1) der Stadt Wien nach Wildarten 2022;;;;
Wildarten;Abschüsse insgesamt;Fallwild (Verluste);;
;;insgesamt;Straßenverkehr;sonstige Verluste
Wild insgesamt;2563;985;229;756
Haarwild;2282;400;223;177
Rotwild;27;–;–;–
Damwild;22;3;–;3
Rehwild;480;179;93;86
Muffelwild;51;3;–;3
Schwarzwild;1312;50;8;42
Hasen;190;73;57;16
Dachse;24;6;2;4
Füchse;109;40;30;10
Marder;36;41;29;12
Sonstiges Haarwild;31;5;4;1
Federwild;281;585;6;579
Quelle: Stadt Wien Wasserrecht.;;;;
(1) Im Stadtgebiet von Wien gibt es 33 Jagdgebiete.;;;;
;;;;
