Arbeitsstätten und Beschäftigte in der Sachgütererzeugung in Wien nach Geschlecht 2021;;;;
Abteilung (ÖNACE 2008);Arbeitsstätten;Beschäftigte;;
;;insgesamt;Geschlecht;
;;;Männer;Frauen
Insgesamt;4017;56982;40232;16750
Nahrungs- und Futtermittel;541;8613;5171;3442
Getränkeherstellung;46;744;447;297
Tabakverarbeitung;;;;
Textilien;92;335;145;190
Bekleidung;273;519;154;365
Leder/-waren und Schuhe;63;201;100;101
Holzwaren_ Korbwaren;131;670;549;121
Papier/Pappe und Waren daraus;33;1338;947;391
Druckerzeugnisse;236;1455;1014;441
Kokerei und Mineralölverarbeitung;4;734;511;223
Chemische Erzeugnisse;120;2100;1305;795
Pharmazeutische Erzeugnisse;139;5563;3156;2407
Gummi- und Kunststoffwaren;76;1079;776;303
Glas/-waren, Keramik u.Ä.;164;1020;714;306
Metallerzeugung und -bearbeitung;25;224;162;62
Metallerzeugnisse;419;3527;2701;826
Datenverarbeitungsgeräte;215;2188;1715;473
Elektrische Ausrüstungen;101;5297;3873;1424
Maschinenbau;132;4444;3595;849
Kraftwagen und -teile;81;2163;1982;181
Sonstiger Fahrzeugbau;23;3381;2802;579
Möbel;181;755;547;208
Sonstige Waren;609;3490;1955;1535
Reparatur/Installation v. Maschinen;313;7142;5911;1231
Quelle: Statistik Austria – Arbeitsstättenzählung 2021.;;;;
;;;;
;;;;
