Arbeitsstätten und Beschäftigte in der Sachgütererzeugung in Wien 2021;;;;;;
Abteilung (ÖNACE 2008);Arbeitsstätten;"Beschäftigte im
Jahresdurchschnitt";"Bruttlöhne
und -gehälter";"Bruttoinvestitionen
in Sachanlagen";Umsatzerlöse;Bruttowert-schöpfung
;;;1.000 EUR;;;
Insgesamt;4141;57350;3196726;733126;31911218;7134972
Nahrungs- und Futtermittel;643;7365;233908;45039;1597973;426569
Getränkeherstellung;63;734;40854;36765;288901;81406
Textilien;88;338;8159;617;43088;15202
Bekleidung;328;587;6565;158;27779;8766
Leder/-waren und Schuhe;59;201;3736;631;12738;5530
Holzwaren_ Korbwaren;151;722;20470;2309;80115;31359
Papier/Pappe und Waren daraus;37;1330;68790;8640;359141;101967
Druckerzeugnisse;231;1533;72652;7873;271102;119510
Kokerei und Mineralölverarbeitung;4;;;;;
Chemische Erzeugnisse;127;2129;158471;59729;9265268;1620151
Pharmazeutische Erzeugnisse;75;7002;495599;301350;1756124;785303
Gummi- und Kunststoffwaren;79;1348;62109;25124;482969;111310
Glas(-waren), Keramik u. Ä.;177;1102;50932;40493;252668;66271
Metallerzeugung und -bearbeitung;15;;;;;
Metallerzeugnisse;381;3341;140075;29200;640241;240853
Datenverarbeitungsgeräte;147;2200;133329;8716;607742;232893
Elektrische Ausrüstungen;117;5807;414943;24521;2098732;623100
Maschinenbau;139;3237;196058;25019;872972;304212
Kraftwagen und -teile;20;2125;112580;28524;870223;230966
Sonstiger Fahrzeugbau;25;3490;253439;27161;1147871;254612
Möbel;208;783;20224;3141;111147;46082
Sonstige Waren;705;3654;140772;11082;3430680;320314
Reparatur/Installation von Maschinen;322;6722;432997;13391;1492516;616779
Quelle: Statistik Austria – Leistungs- und Strukturstatistik 2021.;;;;;;
;;;;;;
;;;;;;
