Hauptgeschäftsstraßen nach Geschäfts-, Verkaufsflächen und Brutto-Jahresumsätze in Wien 2014;;
Hauptgeschäftsstraßen;Verkaufsflächen;Einzelhandelsumsatz (wirksame Kaufkraft)
;m2;Mio. EUR
Wien;902164;4539
Innere Stadt;212450;1341
Innere Mariahilfer Straße;201541;984
Landstraßer Hauptstraße;62127;311
Favoriten-Zentralbereich;57550;273
Meidling-Zentralbereich;39316;184
Thaliastraße;34084;150
Äußere Mariahilfer Straße;33279;142
Simmeringer Hauptstraße;32495;139
Floridsdorf-Zentralbereich;28290;127
Brigittenau-Zentralbereich;23601;91
Nussdorfer Straße;20757;87
Taborstraße;20185;90
Hütteldorfer Straße;15439;68
Neubaugasse;15187;69
Äußere Währinger Straße;14481;67
Hernals-Zentralbereich;14015;65
Alser Straße;13270;57
Josefstädter Straße;12122;54
Wiedner Hauptstraße;11700;56
Hietzing-Zentralbereich;11437;51
Praterstraße;10648;48
Lerchenfelder Straße;9320;46
Reinprechtsdorfer Straße;8870;39
Quelle: Standort+Markt, CIMA 2014.;;
;;
Daten von Wika: Ing. Höger;;
