Gästebetten in Wien nach Betriebskategorien seit 2000;;;;;
Jahr;Insgesamt;Gästebetten (1) in Hotels und ähnlichen Beherbergungsbetrieben (2);;;
;;5-Stern;4-Stern;3-Stern;2-/1-Stern
2000;40033;5450;19186;9843;5554
2001;40061;4029;20201;10498;5333
2002;39579;3982;20373;10105;5119
2003;39641;3843;20356;10066;5376
2004;41682;5787;20226;10213;5456
2005;42692;5580;21004;11006;5102
2006;43753;5809;21204;11718;5022
2007;44414;5756;21701;11937;5020
2008;49005;5976;25202;12865;4962
2009;50911;6345;24870;14445;5251
2010;51342;6464;24786;15008;5084
2011;52905;6837;24575;15768;5725
2012;55389;6797;26591;15479;6522
2013;60459;7259;29453;16214;7533
2014;61970;7722;30454;16229;7565
2015;65059;7982;30232;17463;9382
2016;65928;7759;30433;18129;9607
2017;66352;7863;31216;21080;6193
2018;67816;8046;31771;21772;6227
2019;68200;8543;32036;21502;6119
2020;68504;8702;33510;20158;6134
2021;63363;8701;29181;18998;6483
2022;71345;8916;32831;21972;7626
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;
"(1) Einschließlich Saisonhotels (Studentenheime), exklusive Jugendherbergen und Privatquartiere.
(2) Der Bettenstand wird ohne Zusatzbetten  (2019 =  4.818, 2020 =  4.141, 2022 = 3.772)  ausgewiesen.";;;;;
