Arbeitslose Personen (inkl. Schulungsteiln.) nach Geschlecht und gemeldete offene Stellen nach Gemeindebezirken 2023;;;;
Gemeindebezirk;"Arbeitslose Personen (inkl. SchulungsteilnehmerInnen) 
im Jahresdurchschnitt";;;"Gemeldete
offene Stellen"
;insgesamt;Geschlecht;;
;;Männer;Frauen;
Wien;142515;81297;61218;17449
1. Innere Stadt;373,75;194,166666666667;179,583333333333;1739,75
2. Leopoldstadt;7490,91666666667;4383,58333333333;3107,33333333333;1077,25
3. Landstraße;5631;3239,83333333333;2391,16666666667;2016,91666666667
4. Wieden;1855;1155;700;326,666666666667
5. Margareten;4354,5;2657,25;1697,25;369,916666666667
6. Mariahilf;1720,66666666667;998,916666666667;721,75;477,083333333333
7. Neubau;1390,41666666667;808,083333333333;582,333333333333;731
8. Josefstadt;942,416666666667;547;395,416666666667;410,083333333333
9. Alsergrund;1780,75;1012,5;768,25;624,583333333333
10. Favoriten;21604,25;13010;8594,25;1753,83333333333
11. Simmering;9671,33333333333;5148,83333333333;4522,5;625
12. Meidling;9348,75;5303,66666666667;4045,08333333333;659,583333333333
13. Hietzing;2456,5;1334,91666666667;1121,58333333333;382,583333333333
14. Penzing;6294,66666666667;3638,16666666667;2656,5;476,583333333333
15. Rudolfsheim-Fünfhaus;7477,25;4552,08333333333;2925,16666666667;448,75
16. Ottakring;8544,58333333333;5207,5;3337,08333333333;646,25
17. Hernals;3971,75;2408,33333333333;1563,41666666667;217,333333333333
18. Währing;2342,83333333333;1341,41666666667;1001,41666666667;187,666666666667
19. Döbling;3656,41666666667;2035,58333333333;1620,83333333333;530,583333333333
20. Brigittenau;8389,16666666667;4995,5;3393,66666666667;417,166666666667
21. Floridsdorf;13925,75;7423,16666666667;6502,58333333333;808,25
22. Donaustadt;12320,1666666667;6327,16666666667;5993;1155,08333333333
23. Liesing;6973,25;3574,33333333333;3398,91666666667;1367
Quelle: Arbeitsmarktservice Wien, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;
