Arbeitslose Personen (inkl. SchulungsteilnehmerInnen) in Wien nach Wirtschaftstätigkeiten und Geschlecht 2023;;;;;Hilfstabelle;;
Abschnitte (ÖNACE 2008);Insgesamt;"Arbeitslose Personen (inkl. SchulungsteilnehmerInnen)
im Jahresdurchschnitt";;;;;
;;Anteil in % (1);Geschlecht;;;;
;;;Männer;Frauen;insgesamt;Frauen;Männer
Insgesamt;142515;100;81297;61218;0;0;0
Land- und Forstwirtschaft_ Fischerei;279,24999999999307;0,19594428656632148;166,249999999992;112,99999999999201;;;
Bergbau und Gewinnung von Steinen und Erden;15,333333333325;0,01075910138113532;11,999999999993;3,3333333333299997;;;
Herstellung von Waren;4611,916666666664;3,2360921072635613;3007,249999999999;1604,6666666666601;;;
Energieversorgung;83,24999999999201;0,058414903694342366;53,91666666665901;29,333333333324;;;
Wasserversorgung_ Abwasser- und Abfallentsorgung;189,24999999999403;0,13279303932918923;165,58333333332703;23,666666666661;;;
Bau;9090,16666666666;6,378392917704565;8180,749999999997;909,4166666666581;;;
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;17193;12,06399326386696;7911,416666666668;9281,583333333328;;;
Verkehr und Lagerei;7218,916666666667;5,065373235565847;5958,416666666666;1260,499999999995;;;
Beherbergung und Gastronomie;13362,333333333332;9,376089066647953;7031,249999999997;6331,083333333332;;;
Information und Kommunikation;3360,916666666665;2,358289770667414;2153,5833333333303;1207,3333333333283;;;
Erbringung von Finanz- und Versicherungsdienstleistungen;1565,6666666666622;1,0985978084178243;839,5833333333251;726,0833333333271;;;
Grundstücks- und Wohnungswesen;1607,4166666666586;1,1278929703306029;778,9999999999932;828,416666666657;;;
Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;5070,250000000002;3,5576956811563707;2462,1666666666633;2608,0833333333303;;;
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;24502,999999999985;17,19327790057186;14485,416666666679;10017,583333333332;;;
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;3217,7499999999973;2,257832508858715;1544,9166666666583;1672,8333333333264;;;
Erziehung und Unterricht;7032,08333333333;4,934275924171723;3406,833333333327;3625,2499999999973;;;
Gesundheits- und Sozialwesen;13710,75;9,62056625618356;6474,333333333331;7236,416666666664;;;
Kunst, Unterhaltung und Erholung;1942,8333333333283;1,363248313043068;1159,6666666666583;783,1666666666592;;;
Erbringung sonstige Dienstleistungen;2817,833333333331;1,9772187722929733;1054,7499999999932;1763,083333333328;;;
Private Haushalte;166,999999999992;0,11718064765111884;51,083333333325015;115,91666666666102;;;
Exterritoriale Organisationen und Körperschaften;58,583333333325015;0,04110678408120199;26,583333333327;31,999999999994003;;;
Sonstiges;25418,58333333332;17,835724894455545;14372,250000000007;11046,333333333332;;;
Quelle: Arbeitsmarktservice Wien, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;
(1) Anteil der Beschäftigten in den einzelnen Abschnitten.;;;;;;;
