Bevölkerung nach Altersgruppen und Gemeindebezirken 2024 – Insgesamt;;;;;;;;;
Gemeindebezirk;Insgesamt;Bevölkerungsstand zum Stichtag 1. 1. nach Altersgruppen;;;;;;;
;;0–5;6–9;10–19;20–29;30–44;45–59;60–74;75+
Wien;2005760;115696;79747;192338;299807;470471;399498;284232;163971
1. Innere Stadt;16538;644;466;1244;2103;3094;3542;3129;2316
2. Leopoldstadt;110100;6215;4259;10431;18293;27487;21134;14316;7965
3. Landstraße;98398;5153;3197;7963;16521;25027;18939;13884;7714
4. Wieden;33155;1548;1009;2622;5426;8052;6575;5019;2904
5. Margareten;54400;2609;1577;4253;10376;14069;10470;7501;3545
6. Mariahilf;31386;1256;803;2127;6033;8046;6046;4563;2512
7. Neubau;31513;1314;897;2056;6086;8240;6011;4553;2356
8. Josefstadt;24499;935;694;1800;4993;5806;4575;3584;2112
9. Alsergrund;41631;1856;1197;3026;8698;10426;7371;5730;3327
10. Favoriten;220324;14625;9648;22923;33400;51571;42552;29518;16087
11. Simmering;110559;7367;5164;12248;15593;25576;22690;14647;7274
12. Meidling;101714;5852;3857;9859;15953;24444;20077;14089;7583
13. Hietzing;55505;3001;2220;5134;5753;11358;11628;8874;7537
14. Penzing;98161;5453;3759;8987;12627;22418;20144;15307;9466
15. Rudolfsheim-Fünfhaus;76381;3692;2493;6397;13837;19778;15048;10245;4891
16. Ottakring;102770;5453;3688;9311;16113;24495;21036;14886;7788
17. Hernals;56671;3082;2100;5145;8650;13672;11312;8077;4633
18. Währing;51395;2705;1952;4659;7670;11998;10300;7166;4945
19. Döbling;75400;3815;2926;7382;9596;15454;15336;11324;9567
20. Brigittenau;86930;4766;3311;8350;15037;20206;16895;11969;6396
21. Floridsdorf;186233;12461;8670;19900;24086;41804;37494;26747;15071
22. Donaustadt;220794;14007;10261;24095;29024;50468;46195;31000;15744
23. Liesing;121303;7887;5599;12426;13939;26982;24128;18104;12238
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
