Bevölkerung nach Altersgruppen und Gemeindebezirken 2024 – Männer;;;;;;;;;
Gemeindebezirk;Insgesamt;Bevölkerungsstand zum Stichtag 1. 1. nach Altersgruppen;;;;;;;
;;0–5;6–9;10–19;20–29;30–44;45–59;60–74;75+
Wien;982911;59586;41000;99668;150953;239269;196174;132339;63922
1. Innere Stadt;7888;337;229;602;1010;1443;1736;1526;1005
2. Leopoldstadt;53974;3165;2231;5364;9021;13936;10462;6781;3014
3. Landstraße;47488;2594;1617;4179;8094;12539;9139;6359;2967
4. Wieden;16165;802;497;1343;2668;4055;3313;2334;1153
5. Margareten;27210;1370;771;2212;5124;7452;5303;3608;1370
6. Mariahilf;15236;640;417;1076;2813;4168;3043;2122;957
7. Neubau;15255;684;455;1040;2856;4185;2996;2112;927
8. Josefstadt;12013;492;379;898;2381;3089;2322;1605;847
9. Alsergrund;19787;1006;629;1494;3918;5265;3587;2583;1305
10. Favoriten;111939;7599;4989;12043;17962;27705;21402;13969;6270
11. Simmering;54879;3780;2636;6393;8050;13061;11205;6914;2840
12. Meidling;50297;2957;1980;5098;8266;12725;9911;6505;2855
13. Hietzing;26041;1477;1121;2605;2949;5490;5540;3971;2888
14. Penzing;47903;2854;1958;4742;6339;11346;9822;7060;3782
15. Rudolfsheim-Fünfhaus;38985;1947;1265;3335;7259;10628;7720;4998;1833
16. Ottakring;51517;2825;1900;4833;8368;12956;10494;7103;3038
17. Hernals;27976;1561;1099;2767;4333;6946;5687;3765;1818
18. Währing;23893;1352;986;2340;3533;5767;4867;3169;1879
19. Döbling;35332;2003;1516;3730;4715;7444;7260;5087;3577
20. Brigittenau;43637;2444;1709;4422;7862;10642;8546;5569;2443
21. Floridsdorf;90783;6504;4529;10230;12044;20807;18232;12530;5907
22. Donaustadt;106354;7134;5228;12468;14411;24318;21986;14452;6357
23. Liesing;58359;4059;2859;6454;6977;13302;11601;8217;4890
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
