Bevölkerung nach Altersgruppen und Gemeindebezirken 2024 – Frauen;;;;;;;;;
Gemeindebezirk;Insgesamt;Bevölkerungsstand zum Stichtag 1. 1. nach Altersgruppen;;;;;;;
;;0–5;6–9;10–19;20–29;30–44;45–59;60–74;75+
Wien;1022849;56110;38747;92670;148854;231202;203324;151893;100049
1. Innere Stadt;8650;307;237;642;1093;1651;1806;1603;1311
2. Leopoldstadt;56126;3050;2028;5067;9272;13551;10672;7535;4951
3. Landstraße;50910;2559;1580;3784;8427;12488;9800;7525;4747
4. Wieden;16990;746;512;1279;2758;3997;3262;2685;1751
5. Margareten;27190;1239;806;2041;5252;6617;5167;3893;2175
6. Mariahilf;16150;616;386;1051;3220;3878;3003;2441;1555
7. Neubau;16258;630;442;1016;3230;4055;3015;2441;1429
8. Josefstadt;12486;443;315;902;2612;2717;2253;1979;1265
9. Alsergrund;21844;850;568;1532;4780;5161;3784;3147;2022
10. Favoriten;108385;7026;4659;10880;15438;23866;21150;15549;9817
11. Simmering;55680;3587;2528;5855;7543;12515;11485;7733;4434
12. Meidling;51417;2895;1877;4761;7687;11719;10166;7584;4728
13. Hietzing;29464;1524;1099;2529;2804;5868;6088;4903;4649
14. Penzing;50258;2599;1801;4245;6288;11072;10322;8247;5684
15. Rudolfsheim-Fünfhaus;37396;1745;1228;3062;6578;9150;7328;5247;3058
16. Ottakring;51253;2628;1788;4478;7745;11539;10542;7783;4750
17. Hernals;28695;1521;1001;2378;4317;6726;5625;4312;2815
18. Währing;27502;1353;966;2319;4137;6231;5433;3997;3066
19. Döbling;40068;1812;1410;3652;4881;8010;8076;6237;5990
20. Brigittenau;43293;2322;1602;3928;7175;9564;8349;6400;3953
21. Floridsdorf;95450;5957;4141;9670;12042;20997;19262;14217;9164
22. Donaustadt;114440;6873;5033;11627;14613;26150;24209;16548;9387
23. Liesing;62944;3828;2740;5972;6962;13680;12527;9887;7348
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
