Bevölkerung nach Staatsangehörigkeit der EU, Geschlecht und Gemeindebezirken 2024;;;;;;;;;;
Gemeindebezirk;Bevölkerung zum Stichtag 1. 1.;;;;;;;;;
;Insgesamt;fremde Staatsangehörigkeit;;;;;;;;
;;insgesamt;;EU;;;nicht EU;;;
;;;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;
;;absolut;%;;Männer;Frauen;;Männer;Frauen;
Wien;2005760;710419;35,4189434428845;295597;147660;147937;414822;213470;201352;
1. Innere Stadt;16538;5308;32,0957794171;2208;1087;1121;3100;1258;1842;
2. Leopoldstadt;110100;41738;37,9091734786558;18049;9094;8955;23689;11767;11922;
3. Landstraße;98398;36924;37,5251529502632;17772;8797;8975;19152;9355;9797;
4. Wieden;33155;12014;36,2358618609561;6009;2974;3035;6005;2925;3080;
5. Margareten;54400;23186;42,6213235294118;10200;5098;5102;12986;6878;6108;
6. Mariahilf;31386;10848;34,5631810361308;5620;2732;2888;5228;2562;2666;
7. Neubau;31513;10445;33,145051248691;5812;2874;2938;4633;2281;2352;
8. Josefstadt;24499;8177;33,3768725254092;4587;2300;2287;3590;1895;1695;
9. Alsergrund;41631;15010;36,0548629626961;8155;3884;4271;6855;3207;3648;
10. Favoriten;220324;96390;43,7492057152194;32540;16755;15785;63850;34729;29121;
11. Simmering;110559;40371;36,5153447480531;15295;7623;7672;25076;13103;11973;
12. Meidling;101714;40867;40,1783431975933;16053;8133;7920;24814;12906;11908;
13. Hietzing;55505;13614;24,5275200432393;6998;3341;3657;6616;3148;3468;
14. Penzing;98161;29703;30,2594716842738;12909;6450;6459;16794;8742;8052;
15. Rudolfsheim-Fünfhaus;76381;34936;45,7391236040377;14706;7880;6826;20230;11012;9218;
16. Ottakring;102770;41757;40,6315072491972;16703;8655;8048;25054;13650;11404;
17. Hernals;56671;21135;37,294206913589;9434;4892;4542;11701;6326;5375;
18. Währing;51395;15759;30,6625158089308;8154;3837;4317;7605;3693;3912;
19. Döbling;75400;22663;30,0570291777188;9965;4754;5211;12698;5981;6717;
20. Brigittenau;86930;38207;43,9514551938341;13252;6715;6537;24955;13264;11691;
21. Floridsdorf;186233;58301;31,3054077419147;21897;10722;11175;36404;18234;18170;
22. Donaustadt;220794;61503;27,8553765047963;24921;11922;12999;36582;17826;18756;
23. Liesing;121303;31563;26,0199665300941;14358;7141;7217;17205;8728;8477;
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;
