Bevölkerung nach Geburtsland der EU, Geschlecht und Gemeindebezirken 2024;;;;;;;;;
Gemeindebezirk;Bevölkerung zum Stichtag 1. 1.;;;;;;;;
;Insgesamt;fremdes Geburtsland;;;;;;;
;;insgesamt;;EU;;;nicht EU;;
;;;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;absolut;%;;Männer;Frauen;;Männer;Frauen
Wien;2005760;806167;40,1925953254627;281617;131874;149743;524550;263581;260969
1. Innere Stadt;16538;6728;40,6820655460152;2511;1151;1360;4217;1759;2458
2. Leopoldstadt;110100;47854;43,464123524069;17210;8268;8942;30644;14938;15706
3. Landstraße;98398;42329;43,0181507754223;17359;8234;9125;24970;11841;13129
4. Wieden;33155;14158;42,7024581511084;6153;2857;3296;8005;3786;4219
5. Margareten;54400;26148;48,0661764705882;9773;4659;5114;16375;8475;7900
6. Mariahilf;31386;13036;41,5344421079462;5756;2647;3109;7280;3504;3776
7. Neubau;31513;12285;38,9839114016438;5921;2800;3121;6364;3043;3321
8. Josefstadt;24499;9519;38,8546471284542;4670;2252;2418;4849;2455;2394
9. Alsergrund;41631;17246;41,4258605366193;8064;3702;4362;9182;4232;4950
10. Favoriten;220324;105014;47,6634411139958;29262;14175;15087;75752;40454;35298
11. Simmering;110559;44927;40,6362213840574;13736;6470;7266;31191;15828;15363
12. Meidling;101714;45477;44,7106592996048;14421;6865;7556;31056;15816;15240
13. Hietzing;55505;16409;29,5631024232051;7581;3325;4256;8828;4071;4757
14. Penzing;98161;34076;34,7143977750838;12620;5808;6812;21456;10806;10650
15. Rudolfsheim-Fünfhaus;76381;38558;50,4811405977926;13212;6700;6512;25346;13382;11964
16. Ottakring;102770;46066;44,8243650870877;15062;7371;7691;31004;16380;14624
17. Hernals;56671;23308;41,1286195761501;8725;4246;4479;14583;7581;7002
18. Währing;51395;18161;35,3361221908746;8062;3607;4455;10099;4762;5337
19. Döbling;75400;27312;36,2228116710875;10590;4645;5945;16722;7740;8982
20. Brigittenau;86930;42783;49,2154607155182;12280;5846;6434;30503;15915;14588
21. Floridsdorf;186233;65006;34,9057363625136;20670;9304;11366;44336;22058;22278
22. Donaustadt;220794;73466;33,2735491000661;24480;10845;13635;48986;23455;25531
23. Liesing;121303;36301;29,9258880654229;13499;6097;7402;22802;11300;11502
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
