Natürliche Bevölkerungsbewegung für Wien nach Herkunft und Gemeindebezirken 2023;;;;;;;;;
Gemeindebezirk;Lebendgeborene;;;Gestorbene;;;Geburtenbilanz;;
;insgesamt;ausländische Herkunft (1);;insgesamt;ausländische Herkunft;;insgesamt;ausländische Herkunft;
;;mit;ohne;;mit;ohne;;mit;ohne
Wien;18072;10637;7435;17249;4296;12953;823;6341;-5518
1. Innere Stadt;101;56;45;159;52;107;-58;4;-62
2. Leopoldstadt;1031;586;445;890;235;655;141;351;-210
3. Landstraße;860;508;352;777;211;566;83;297;-214
4. Wieden;242;141;101;308;83;225;-66;58;-124
5. Margareten;456;293;163;409;118;291;47;175;-128
6. Mariahilf;207;109;98;258;71;187;-51;38;-89
7. Neubau;246;120;126;201;56;145;45;64;-19
8. Josefstadt;158;69;89;148;34;114;10;35;-25
9. Alsergrund;312;160;152;328;80;248;-16;80;-96
10. Favoriten;2309;1636;673;1829;508;1321;480;1128;-648
11. Simmering;1112;692;420;864;224;640;248;468;-220
12. Meidling;980;634;346;957;248;709;23;386;-363
13. Hietzing;431;185;246;685;138;547;-254;47;-301
14. Penzing;866;471;395;918;194;724;-52;277;-329
15. Rudolfsheim-Fünfhaus;662;454;208;663;214;449;-1;240;-241
16. Ottakring;930;580;350;834;267;567;96;313;-217
17. Hernals;517;279;238;432;109;323;85;170;-85
18. Währing;429;172;257;428;111;317;1;61;-60
19. Döbling;591;314;277;1000;229;771;-409;85;-494
20. Brigittenau;806;565;241;743;205;538;63;360;-297
21. Floridsdorf;1786;1028;758;1586;341;1245;200;687;-487
22. Donaustadt;1949;1009;940;1654;344;1310;295;665;-370
23. Liesing;1091;576;515;1178;224;954;-87;352;-439
Quelle: Statistik Austria – Statistik der natürlichen Bevölkerungsbewegung und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
(1) Ausländische Herkunft der Mutter, d.h. bei ausländischer Herkunft hat die Mutter eine fremde Staatsangehörigkeit oder ist im Ausland geboren.;;;;;;;;;
