Außenwanderungsströme nach Bundesländern seit 2002;;;;;;;;;;
Jahr;Österreich;Bundesländer;;;;;;;;
;;Burgenland;Kärnten;Niederösterr.;Oberösterr.;Salzburg;Steiermark;Tirol;Vorarlberg;Wien
Zuzüge;;;;;;;;;;
2002;108125;1980;3861;13588;13103;6986;10330;10652;5157;42468
2003;111869;1967;3676;13670;13182;7378;10682;10647;5454;45213
2004;122547;2162;4390;14570;14585;7693;11387;10851;5678;51231
2005;114465;2068;4003;13940;14150;7301;10757;10631;5248;46367
2006;98535;1913;3775;11875;12395;6526;9707;9331;4766;38247
2007;106470;2120;4568;12456;12991;7102;10461;10130;5013;41629
2008;109713;2741;4345;13697;13503;7131;10915;10665;5236;41480
2009;107523;2830;4272;12573;12005;7058;10734;10379;4842;42830
2010;112691;2740;4254;12784;12042;7369;11722;10861;4733;46186
2011;124619;3265;4896;14670;14821;8186;13027;11678;5231;48845
2012;140358;3455;5369;16760;16686;8779;14146;12990;5512;56661
2013;151280;3296;6428;16676;18029;9595;15162;13905;6475;61714
2014;170115;3751;7569;21003;22068;10273;17644;14625;6808;66374
2015;214410;4513;10872;28855;29456;13861;22330;17818;8642;78063
2016;174310;3379;9767;19931;22558;11754;17839;15507;7434;66141
2017;154749;2575;6465;16742;19205;10709;15651;14581;6927;61894
2018;146856;2463;6137;15698;18804;10434;15501;14455;6840;56524
2019;150419;2474;6281;15708;19360;11178;15940;13955;7153;58370
2020;136343;2419;6185;16131;17447;10690;14134;13188;6508;49641
2021;154202;2770;7951;18950;20869;14570;17333;13963;6613;51183
2022;261937;5769;14219;35692;34288;18670;30383;20780;9868;92268
2023;194959;3238;10883;22408;25747;15223;22674;16749;7968;70069
Wegzüge;;;;;;;;;;
2002;74831;1457;3433;9832;8938;7547;7476;8808;4470;22870
2003;71996;1244;2997;8467;8282;5383;6874;8198;3978;26573
2004;71721;1066;2469;8306;8067;5484;6586;7913;4136;27694
2005;70133;1182;3303;8398;7663;5360;7081;7248;3938;25960
2006;74432;1160;2496;8573;8117;5568;7030;7939;4202;29347
2007;81000;1495;3116;9571;9300;7018;8115;8734;4633;29018
2008;85063;1606;3264;10408;9489;6640;8821;8577;4582;31676
2009;90470;1769;3430;10351;9595;6804;9131;8993;4506;35891
2010;91375;1881;3214;10067;9670;6243;9169;8989;4648;37494
2011;93914;2165;3373;10552;9845;6478;9760;8974;4325;38442
2012;96561;2159;3668;11295;10138;6722;10473;9810;4756;37540
2013;96552;2095;3870;11147;9606;7012;9997;9005;4448;39372
2014;97791;1933;3814;10789;9754;6725;10095;9276;4700;40705
2015;101343;1647;4163;11787;11371;6896;10497;9731;5130;40121
2016;109634;2230;4314;12887;11440;7012;11496;10389;4864;45002
2017;110119;1962;4569;12570;11932;7544;11146;10375;5323;44698
2018;111555;1960;4543;12509;11947;7514;11730;10868;5552;44932
2019;109806;1857;4143;12227;12404;7678;11494;10541;5618;43844
2020;96279;1570;3780;10935;11036;6495;10201;9765;5128;37369
2021;101714;1826;3912;11610;11912;7133;10971;9814;5337;39199
2022;124958;2451;5328;15876;16391;8924;13400;12857;6560;43171
2023;128330;2360;5085;15738;16464;8730;13685;11849;6309;48110
Saldo;;;;;;;;;;
2002;33294;523;428;3756;4165;-561;2854;1844;687;19598
2003;39873;723;679;5203;4900;1995;3808;2449;1476;18640
2004;50826;1096;1921;6264;6518;2209;4801;2938;1542;23537
2005;44332;886;700;5542;6487;1941;3676;3383;1310;20407
2006;24103;753;1279;3302;4278;958;2677;1392;564;8900
2007;25470;625;1452;2885;3691;84;2346;1396;380;12611
2008;24650;1135;1081;3289;4014;491;2094;2088;654;9804
2009;17053;1061;842;2222;2410;254;1603;1386;336;6939
2010;21316;859;1040;2717;2372;1126;2553;1872;85;8692
2011;30705;1100;1523;4118;4976;1708;3267;2704;906;10403
2012;43797;1296;1701;5465;6548;2057;3673;3180;756;19121
2013;54728;1201;2558;5529;8423;2583;5165;4900;2027;22342
2014;72324;1818;3755;10214;12314;3548;7549;5349;2108;25669
2015;113067;2866;6709;17068;18085;6965;11833;8087;3512;37942
2016;64676;1149;5453;7044;11118;4742;6343;5118;2570;21139
2017;44630;613;1896;4172;7273;3165;4505;4206;1604;17196
2018;35301;503;1594;3189;6857;2920;3771;3587;1288;11592
2019;40613;617;2138;3481;6956;3500;4446;3414;1535;14526
2020;40064;849;2405;5196;6411;4195;3933;3423;1380;12272
2021;52488;944;4039;7340;8957;7437;6362;4149;1276;11984
2022;136979;3318;8891;19816;17897;9746;16983;7923;3308;49097
2023;66629;878;5798;6670;9283;6493;8989;4900;1659;21959
Quelle: Statistik Austria – Wanderungsstatistik.;;;;;;;;;;
