Kinder in elementaren Bildungs- und Betreuungseinrichtungen in Wien seit 1989/90;;;;;
Jahr;Insgesamt;Kinder – davon in…;;;
;;Kleinkindergruppen;Kindergartengruppen (1);Hortgruppen (2);Familiengruppen, Kindergruppen (3)
1989/90;54169;5786;33779;14604;–
1990/91;54005;5498;34022;14485;–
1991/92;54492;5351;34406;14735;–
1992/93;56270;5339;35345;15586;–
1993/94;58284;5568;36855;15861;–
1994/95;59334;5651;37380;16303;–
1995/96;60400;5796;38095;16509;–
1996/97;61948;6161;39164;16623;–
1997/98;63384;6693;39439;17051;201
1998/99;63201;7284;38712;16534;671
1999/00;63828;7652;38244;16442;1490
2000/01;64421;7821;38166;16699;1735
2001/02;64146;8025;37307;16395;2419
2002/03;63463;7621;36960;16380;2502
2003/04;64166;7516;36998;16649;3003
2004/05;65999;7663;35630;16995;5711
2005/06;67719;7656;35673;17315;7075
2006/07;68618;7629;35022;17542;8425
2007/08;71521;7636;34635;18636;10614
2008/09;74858;8219;35898;18933;11808
2009/10;76567;9246;37131;17431;12759
2010/11;81236;12556;35711;18275;14694
2011/12;81121;9917;35989;18113;17102
2012/13;82376;10337;35891;17904;18244
2013/14;86251;10985;36118;17830;21318
2014/15;89806;12132;35270;17920;24484
2015/16;94691;13658;35641;17872;27520
2016/17;96037;13834;35191;17507;29505
2017/18;97537;14498;34937;17380;30722
2018/19;96330;14516;34440;15807;31567
2019/20;95840;14818;34326;14836;31860
2020/21;96148;14383;31632;15632;34501
2021/22;98294;14534;34189;14376;35195
2022/23;99545;14479;34975;14323;35768
2023/24;97641;14615;35249;13298;34479
Quelle: Statistik Austria - Kindertagesheimstatistik.;;;;;
Anmerkung: Ohne Kinder bei Tageseltern. Betreute Kinder nach der geführten Form der Betreuungsgruppe.;;;;;
"(1) Kindergartengruppen: Ab 2010/11 geänderte Zuordnungen (vgl. Familiengruppen, Kindergruppen).
(2) Hortgruppen: In den Berichtsjahren 2015/16 bis 2017/18 liegen keine Daten über private Horte vor, die ausgewiesenen Werte wurden geschätzt.
(3) Familiengruppen/Kindergruppen: ab 2010/11 geänderte Zuordnungen. Der Anstieg im Jahr 2014/15 ist darauf zurückzuführen, dass in den Vorjahren eine Untererfassung von neu eröffneten Kindergruppen vorlag.";;;;;
