Kinder in elementaren Bildungs- und Betreuungseinrichtungen nach Gemeindebezirken 2023/24;;;;;
Gemeindebezirk;Insgesamt;Kinder – davon in…;;;
;;Kleinkindergruppen;Kindergartengruppen;Hortgruppen;"Familiengruppen,
Kindergruppen"
Wien;97641;14615;35249;13298;34479
1. Innere Stadt;1045;126;318;188;413
2. Leopoldstadt;6133;979;1738;756;2660
3. Landstraße;5010;683;1741;540;2046
4. Wieden;1674;219;465;364;626
5. Margareten;1774;231;640;25;878
6. Mariahilf;1613;197;366;553;497
7. Neubau;1547;195;538;427;387
8. Josefstadt;1280;184;250;429;417
9. Alsergrund;1987;272;452;315;948
10. Favoriten;11045;1543;4062;1156;4284
11. Simmering;5355;928;2327;307;1793
12. Meidling;4687;487;1521;665;2014
13. Hietzing;2436;270;646;543;977
14. Penzing;3778;636;1525;307;1310
15. Rudolfsheim-Fünfhaus;3486;541;1445;476;1024
16. Ottakring;4322;763;1626;622;1311
17. Hernals;1890;339;808;96;647
18. Währing;2679;406;1020;503;750
19. Döbling;3929;356;1006;1350;1217
20. Brigittenau;3701;626;1672;288;1115
21. Floridsdorf;9069;1579;3784;804;2902
22. Donaustadt;12695;2037;4685;1860;4113
23. Liesing;6506;1018;2614;724;2150
Quelle: Statistik Austria – Kindertagesheimstatistik.;;;;;
Anmerkung: Ohne Kinder bei Tageseltern. Betreute Kinder nach der geführten Form der Betreuungsgruppe.;;;;;
