Kinder in städtischen elementaren Bildungs- und Betreuungseinrichtungen nach Gemeindebezirken 2023/24;;;;;
Gemeindebezirk;Insgesamt;Kinder – davon in…;;;
;;Kleinkindergruppen;Kindergartengruppen;Hortgruppen;Familiengruppen (1)
Wien;36463;6133;19845;5392;5093
1. Innere Stadt;202;19;110;41;32
2. Leopoldstadt;2044;383;796;361;504
3. Landstraße;1709;258;886;251;314
4. Wieden;379;100;182;–;97
5. Margareten;537;87;346;–;104
6. Mariahilf;405;43;157;154;51
7. Neubau;152;31;100;–;21
8. Josefstadt;189;46;100;–;43
9. Alsergrund;732;113;262;252;105
10. Favoriten;4147;682;2362;505;598
11. Simmering;2039;389;1169;267;214
12. Meidling;1652;202;898;377;175
13. Hietzing;376;59;164;–;153
14. Penzing;1514;338;976;–;200
15. Rudolfsheim-Fünfhaus;1011;129;707;118;57
16. Ottakring;1764;207;839;525;193
17. Hernals;610;129;441;40;–
18. Währing;540;51;305;104;80
19. Döbling;1452;131;624;609;88
20. Brigittenau;1684;266;1024;288;106
21. Floridsdorf;5085;937;2960;668;520
22. Donaustadt;5568;1018;2815;653;1082
23. Liesing;2672;515;1622;179;356
Quelle: Stadt Wien Wiener Kindergärten. Berechnung: Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;
(1) Kindergruppen gibt es ausschließlich bei privaten Trägerorganisationen.;;;;;
