Schulen in Wien nach Schultypen seit 2006/07;;;;;;;;;;;;;;;;;;
Schultyp;Schuljahr;;;;;;;;;;;;;;;;;
;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2015/16;2016/17;2017/18;2018/19;2019/20;2020/21;2021/22;2022/23
Schulen insgesamt;700;695;691;697;688;688;688;696;701;703;703;709;720;711;704;715;721;727
Allgemein bildende Pflichtschulen insgesamt;428;429;426;431;427;428;430;433;432;432;432;434;445;441;443;451;456;457
Volksschulen;261;262;260;264;262;261;263;264;266;271;271;276;288;284;292;298;298;303
Hauptschulen;122;124;124;125;123;123;106;104;106;60;60;13;4;–;–;–;–;–
Mittelschulen;–;–;–;22;24;24;64;115;123;125;125;128;130;131;136;139;138;140
Sonderschulen;37;35;35;35;35;35;35;36;34;36;36;35;43;44;43;40;42;45
Polytechnische Schulen;11;11;10;11;11;12;13;13;13;13;13;13;14;13;15;14;14;14
Allgemein bildende höhere Schulen insgesamt;88;89;89;89;90;91;92;93;93;93;93;94;95;96;96;96;96;98
darunter mit Unterstufe;81;82;82;82;83;83;84;84;85;85;85;86;87;88;88;88;88;90
Sonstige allgemein bildende (Statut-)Schulen (1);27;26;27;27;28;30;29;31;32;34;34;35;36;35;33;36;36;36
Berufsschulen insgesamt;27;26;26;26;26;26;26;25;25;25;25;26;25;25;23;23;23;23
Gewerbliche und kaufmännische Berufsschulen;27;26;26;26;26;26;26;25;25;25;25;26;25;25;23;23;23;23
Berufsbildende mittlere und höhere Schulen insgesamt;65;64;64;63;61;61;61;62;60;61;61;72;70;71;69;68;67;68
Berufsbildende mittlere Schulen insgesamt;42;41;42;42;41;41;41;42;43;44;44;47;46;47;46;46;45;46
Technisch-gewerbliche mittlere Schulen;20;19;20;22;21;20;21;23;20;22;22;21;20;22;21;21;20;21
Kaufmännische mittlere Schulen;15;15;15;15;15;15;15;15;16;16;16;16;16;16;16;16;16;16
Wirtschaftsberufliche mittlere Schulen;8;8;8;8;8;8;8;8;9;9;9;9;9;9;8;8;8;8
Sozialberufliche mittlere Schulen;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Mittlere Schulen für pädagogische Assistenzberufe;–;–;–;–;–;–;–;–;–;–;–;3;3;3;3;3;3;3
Sonstige berufsbildende (Statut-)Schulen;20;20;20;19;17;18;18;18;16;16;16;18;17;17;17;17;17;17
Berufsbildende höhere Schulen insgesamt;36;36;36;36;37;37;39;39;39;39;39;49;49;49;49;48;48;48
Technisch-gewerbliche höhere Schulen;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18
Kaufmännische höhere Schulen;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
Wirtschaftsberufliche höhere Schulen;8;8;8;8;9;9;11;11;11;11;11;11;11;11;10;10;10;10
Sozialberufliche höhere Schulen;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1;2;2
Land- und forstwirtschaftliche höhere Schulen;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2
Bildungsanstalten für Elementarpädagogik (2);–;–;–;–;–;–;–;–;–;–;–;7;7;7;7;1;1;1
Bildungsanstalten für Sozialpädagogik (2);–;–;–;–;–;–;–;–;–;–;–;3;3;3;3;6;6;6
Bundessportakademien (3);–;–;–;–;–;–;–;–;–;–;–;1;1;1;1;3;3;3
Schulen im Gesundheitswesen;38;42;42;43;48;44;43;43;49;48;48;47;48;42;39;1;1;1
Lehrerbildende mittlere Schulen (3);1;1;1;1;1;1;1;1;1;1;1;–;–;–;–;40;42;44
Lehrerbildende höhere Schulen (2);6;6;6;6;6;6;6;8;9;9;9;–;–;–;–;–;–;–
Quelle: Statistik Austria.;;;;;;;;;;;;;;;;;;
Anmerkung: An einem Standort können mehrere Schultypen vorhanden sein. Bei der Gesamtsumme wird jeder Schulstandort nur einmal ausgewiesen.;;;;;;;;;;;;;;;;;;
"(1) Inklusive Schulen mit ausländischem Lehrplan.
(2) Die bislang in der Kategorie ""Lehrerbildende höhere Schulen"" erfassten Bildungsanstalten für Elementar- bzw. Sozialpädagogik werden ab 2016/17 bei den Berufsbildenden höheren Schulen ausgewiesen.
(3) Die Kategorie ""Lehrerbildende mittlere Schulen"" wurde ab 2016/17 in ""Bundessportakademien"" umbenannt.";;;;;;;;;;;;;;;;;;
