Lehrpersonal in Wien nach Schultypen und Geschlecht 2022/23;;;;;
Schultyp;Insgesamt;Lehrpersonal (1);;;
;;Geschlecht;;;
;;Männer;Frauen;Männer;Frauen
;;absolut;;%;
Lehrpersonal insgesamt (1);28912,999999999978;8004,000000000003;20908,999999999975;27,683049147442357;72,31695085255764
Allgemein bildende Pflichtschulen;15100,999999999976;2651,000000000002;12449,999999999975;17,555128799417297;82,4448712005827
Volksschulen;8168,351074693253;762,380685050244;7405,970389643009;9,33334865358825;90,66665134641175
Mittelschulen (2);4593,444246309256;1412,5323581973598;3180,9118881118966;30,751050463544914;69,24894953645509
Sonderschulen;2024,9546789974656;344,961956752398;1679,9927222450676;17,035539626160183;82,96446037383983
Polytechnische Schulen;314,25;131,125;183,125;41,72633253778839;58,27366746221162
Allgemein bildende höhere Schulen;7188;2423;4765;33,70895937673901;66,29104062326098
Sonstige allgemein bildende (Statut-)Schulen;905;279;626;30,82872928176796;69,17127071823205
Berufsschulen (3);888;505;383;56,86936936936937;43,13063063063063
Berufsbildende mittlere und höhere Schulen;4523,694073083778;2037,022504456328;2486,67156862745;45,03006771781322;54,9699322821868
Technische und gewerbliche Schulen;2051,4030112044816;1328,610119047619;722,7928921568625;64,76592418900299;35,23407581099701
Schulen des Ausbildungsbereichs Tourismus;242,70033670033683;97,8653198653199;144,83501683501692;40,32352043506006;59,67647956493993
Kaufmännische Schulen;1101,4485294117644;353,65318627450984;747,7953431372547;32,10800839358155;67,89199160641847
Wirtschafts- und sozialberufliche Schulen;568,1421957671942;135,22721260221257;432,9149831649816;23,801649236703447;76,19835076329655
Land- und forstwirtschaftliche Schulen (3);31;12;19;38,70967741935484;61,29032258064516
Pädagogische mittlere und höhere Schulen;529,0000000000013;109,66666666666671;419,3333333333345;20,730938878386855;79,26906112161313
Sonstige Berufsbildende (Statut-)Schulen;307,30592691622155;108,97749554367208;198,32843137254946;35,462217288565924;64,53778271143408
Quelle: Statistik Austria – Schulstatistik.;;;;;
"(1) Ohne Lehrpersonen an Bundessportakademien und Schulen und Akademien des Gesundheitswesens. Inklusive karenzierte Lehrkräfte. 
(2) Lehrpersonen an Mittelschulen an AHS-Standorten werden bei AHS ausgewiesen.
(3) Lehrpersonen an land- und forstwirtschaftlichen Berufsschulen werden bei land- und forstwirtschaftlichen Schulen ausgewiesen.";;;;;
