Schülerinnen und Schüler in Wien nach Schultypen seit 2010/11;;;;;;;;;;;;;
Schultyp;Schuljahr;;;;;;;;;;;;
;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20;2020/21;2021/22;2022/23
Schülerinnen und Schüler insgesamt;224697;225414;225645;227049;228330;230578;235295;239668;241802;243076;246759;248242;254089
Allgemein bildende Pflichtschulen;98961;100206;98654;99915;101700;103606;107030;109916;111324;112789;114310;114975;119969
Allgemein bildende höhere Schulen;57541;57385;59608;59523;59502;60471;61199;61986;62596;63243;64362;64834;65737
Sonst. allgemein bild. (Statut-)Schulen (1);4521;4537;4435;4623;4837;5007;5005;5239;5223;5151;5082;4855;5144
Berufsschulen;23007;22160;21541;20847;20177;19499;19733;19807;20140;20167;20522;20886;21225
Berufsbildende mittlere Schulen;7343;7473;7297;7298;7352;7439;7729;7993;7901;7998;8212;8027;8022
Sonstige berufsbild. (Statut-)Schulen;1826;1792;1800;1845;1552;1641;1901;1846;1928;1890;1853;1863;1782
Berufsbildende höhere Schulen (2);23006;23408;24082;24473;24671;24854;28320;28201;28380;28294;29339;29326;28377
Bundessportakademien (3);1132;1442;1591;1571;1442;1175;1032;1581;1141;545;386;614;994
Schulen im Gesundheitswesen;4790;4285;3817;4013;3968;3650;3346;3099;3169;2999;2693;2862;2839
Lehrerbildende höhere Schulen (2);2570;2726;2820;2941;3129;3236;–;–;–;–;–;–;–
Quelle: Statistik Austria – Schulstatistik.;;;;;;;;;;;;;
"(1) Inkl. Schulen mit ausländischem Lehrplan.
(2) Die bislang in der Kategorie ""Lehrerbildende höhere Schulen"" erfassten Bildungsanstalten für Elementar- bzw. Sozialpädagogik werden ab 2016/17 bei den Berufsbildenden höheren Schulen ausgewiesen. 
(3) Die Kategorie ""Lehrerbildende mittlere Schulen"" wurde ab 2016/17 in ""Bundessportakademien"" umbenannt.";;;;;;;;;;;;;
