Schülerinnen und Schüler in AHS, Modellversuch Neue Mittelschule an AHS und Statutschulen nach Gemeindebezirken 2022/23;;;;;
Gemeindebezirk;Insgesamt;Schülerinnen und Schüler in den Schultypen;;;
;;allgemein bildende höhere Schulen;;;"sonstige allgemein
bildende (Statut–) Schulen (1)"
;;;;;
;;AHS–Unterstufe;"Modellversuch
NMS an AHS";AHS–Oberstufe;
Wien;70881;33623;4382;27732;5144
1. Innere Stadt;2701;1276;–;1406;19
2. Leopoldstadt;3613;1542;119;1441;511
3. Landstraße;5045;2210;159;2676;–
4. Wieden;2227;1162;–;1065;–
5. Margareten;1495;971;–;524;–
6. Mariahilf;1901;1124;–;777;–
7. Neubau;1695;550;362;783;–
8. Josefstadt;1728;1028;–;700;–
9. Alsergrund;1378;706;–;552;120
10. Favoriten;3486;2228;–;1095;163
11. Simmering;2378;1582;–;796;–
12. Meidling;1343;835;–;456;52
13. Hietzing;2503;1352;–;967;184
14. Penzing;2734;1071;477;820;366
15. Rudolfsheim–Fünfhaus;3029;1656;–;1373;–
16. Ottakring;1334;865;–;469;–
17. Hernals;1678;978;–;676;24
18. Währing;3290;1459;–;1096;735
19. Döbling;4440;2179;–;1469;792
20. Brigittenau;1040;437;–;596;7
21. Floridsdorf;8235;4016;–;4171;48
22. Donaustadt;8492;2211;2666;1982;1633
23. Liesing;5116;2185;599;1842;490
Quelle: Statistik Austria – Schulstatistik.;;;;;
(1) Inklusive Schulen mit ausländischem Lehrplan.;;;;;
