G0050a;;;;;;;;;;;;;G0050b;;;;;;;;;;
Studierende an Hochschulen in Wien nach Staatsangehörigkeit und Geschlecht seit 2003/04;;;;;;;;;;;;;Studierende an Hochschulen in Wien nach Staatsangehörigkeit und Geschlecht seit 2003/04 ─ Fortsetzung;;;;;;;;;;
"Wintersemester
bzw. Studienjahr";Insgesamt (1);Öffentliche Universitäten;;;;;Privatuniversitäten;;;;;;"Wintersemester
bzw. Studienjahr";Pädagogische Hochschulen;;;;;Fachhochschulen;;;;
;;insgesamt;ÖsterreicherInnen;;AusländerInnen;;insgesamt;ÖsterreicherInnen;;AusländerInnen;;;;insgesamt;ÖsterreicherInnen;;AusländerInnen;;insgesamt;ÖsterreicherInnen;;AusländerInnen;
;;;Männer;Frauen;Männer;Frauen;;Männer;Frauen;Männer;Frauen;;;;Männer;Frauen;Männer;Frauen;;Männer;Frauen;Männer;Frauen
2003/04;121532;115827;43824;51872;9378;10753;667;137;95;211;224;;2003/04;–;–;–;–;–;5038;3075;1763;114;86
2004/05;126499;119927;45111;54414;9313;11089;532;122;97;163;150;;2004/05;–;–;–;–;–;6040;3625;2152;158;105
2005/06;133735;125399;46428;56017;10354;12600;1601;451;486;324;340;;2005/06;–;–;–;–;–;6735;3905;2485;210;135
2006/07;138905;129797;47375;57284;11267;13871;1591;365;500;331;395;;2006/07;–;–;–;–;–;7517;4340;2693;289;195
2007/08;148396;135907;49054;58999;12436;15418;1846;378;621;371;476;;2007/08;2167;407;1494;55;211;8476;4711;3128;380;257
2008/09;153093;138911;49532;59345;13375;16659;2163;467;666;429;601;;2008/09;2713;492;1929;60;232;9306;4904;3545;487;370
2009/10;173736;157029;56052;66158;15419;19400;2471;479;776;522;694;;2009/10;3429;679;2350;88;312;10807;5568;4188;592;459
2010/11;179998;161945;57139;66971;16899;20936;2681;536;872;554;719;;2010/11;4230;864;2942;99;325;11142;5792;4166;655;529
2011/12;185408;165834;58167;66779;18310;22578;2817;513;828;596;880;;2011/12;4984;1024;3529;120;311;11773;6083;4398;739;553
2012/13;187176;166074;57272;65354;19650;23798;2803;481;838;576;908;;2012/13;5574;1179;3905;132;358;12725;6433;4727;889;676
2013/14;187824;164889;56759;64179;19923;24028;3404;616;1229;607;952;;2013/14;5844;1258;4113;135;338;13687;6732;5114;1030;811
2014/15;191712;167340;57442;64522;20583;24793;3882;720;1444;663;1055;;2014/15;6007;1298;4196;136;377;14483;6958;5404;1178;943
2015/16;195179;169567;57745;64968;21204;25650;4289;846;1578;742;1123;;2015/16;5716;1290;3932;128;366;15607;7338;5819;1338;1112
2016/17;197555,687;170041;57630;64121;21591;26699;5589;1057;1952;960;1620;;2016/17;5557,687;1370,331;3713,694;113,558;360,104;16368;7539;6062;1484;1283
2017/18;196112,314;167994;56562;63063;21463;26906;5974;1067;2026;1131;1750;;2017/18;4964,314;1327,757;3227,052;105,553;303,952;17180;7819;6354;1602;1405
2018/19;191880,04;163212;54230;61704;20796;26482;6456;1154;2279;1131;1892;;2018/19;5185,040000000001;1309,015;3429,705;106,81899999999999;339,501;17027;7525;6272;1702;1528
2019/20;190387,745;160039;52623;60243;20568;26605;6791;1125;2220;1290;2156;;2019/20;5705,745;1357,224;3880,521;100;368;17852;7780;6534;1890;1648
2020/21;194224,246;160554;52153;60974;20738;26689;8423;1214;2547;1764;2898;;2020/21;6370,246;1488;4366;116,817;399,429;18877;7840;6864;2194;1979
2021/22;193924,075;159245;50582;59151;21678;27834;8096;1315;2715;2014;3354;;2021/22;6751,075;1569,492;4625,764;116,103;439,716;19832;7817;7272;2419;2324
2022/23;192698,849;155159;48414;56248;22178;28319;9884;1355;2830;2140;3559;;2022/23;6969,848999999999;1593,1689999999999;4764,003;131,079;481,59800000000007;20686;7884;7517;2651;2634
2023/24;197208,723;155968;47484;55599;23308;29577;10600;1480;2951;2251;3918;;2023/24;7441,723;1674,377;5098,203;136,796;532,347;23199;8311;7945;3477;3466
Quelle: Statistik Austria – Hochschulstatistik.;;;;;;;;;;;;;Quelle: Statistik Austria – Hochschulstatistik.;;;;;;;;;;
(1) Gesamtsumme von Tabelle 7.3.1 und 7.3.2;;;;;;;;;;;;;Anmerkung: Mehrfachzählungen aufgrund von Mehrfachstudien nicht ausgeschlossen. Pädagogische Hochschulen: Lehramt-Studierende. Fachhochschulen: Belegte ordentliche Studien und belegte Lehrgang-Studien.;;;;;;;;;;
Anmerkung: Mehrfachzählungen aufgrund von Mehrfachstudien nicht ausgeschlossen. Öffentliche Universitäten: ordentliche Studierende und Lehrgang-Studierende. Privatuniversitäten: ordentliche Studierende und Lehrgang-Studierende.;;;;;;;;;;;;;;;;;;;;;;;
