Studienabschlüsse an Hochschulen in Wien nach Staatsangehörigkeit und Geschlecht im Studienjahr 2022/23;;;;;;;
Hochschule;Insgesamt;Studienabschlüsse an Hochschulen;;;;;
;;ÖsterreicherInnen;;;AusländerInnen;;
;;insgesamt;Männer;Frauen;insgesamt;Männer;Frauen
Hochschulen insgesamt;28930,862;20056,184999999998;8711,8;11344,385;8874,677;3653,409;5221,268
Öffentliche Universitäten;20070;13637;6196;7441;6433;2689;3744
Universität Wien;9564;6387;2154;4233;3177;1119;2058
Technische Universität Wien;3181;2284;1629;655;897;510;387
Universität für Bodenkultur Wien;1333;945;443;502;388;165;223
Veterinärmedizinische Universität Wien;349;225;33;192;124;30;94
Wirtschaftsuniversität Wien;3772;2655;1431;1224;1117;584;533
Medizinische Universität Wien;961;718;320;398;243;115;128
Akademie der bildenden Künste Wien;164;75;25;50;89;26;63
Universität für angewandte Kunst Wien;281;129;66;63;152;46;106
Universität für Musik und darstellende Kunst Wien;465;219;95;124;246;94;152
Privatuniversitäten;2436;1131;284;847;1305;456;849
Central European University;393;10;2;8;383;167;216
JML Jam Music Lab Private University for Jazz and Popular Music Vienna;13;7;3;4;6;3;3
MODUL University Vienna Privatuniversität (1);246;60;13;47;186;69;117
Musik und Kunst Privatuniversität der Stadt Wien;149;54;23;31;95;33;62
Sigmund Freud Privatuniversität (1);1536;981;234;747;555;153;402
Webster Vienna Private University;99;19;9;10;80;31;49
Pädagogische Hochschulen;1058,8619999999999;997,185;189,79999999999998;807,385;61,677;10,408999999999999;51,268
Pädagogische Hochschule Wien;531,599;495,533;121,567;373,966;36,066;7,7459999999999996;28,32
Private Pädagogische Hochschule der Erzdiözese Wien;439,263;424,652;45,233;379,419;14,611;1,663;12,948
Hochschule für Agrar- und Umweltpädagogik Wien;88;77;23;54;11;1;10
Fachhochschulen;5366;4291;2042;2249;1075;498;577
FHWien der WKW;1177;983;431;552;194;62;132
Fachhochschule des bfi Wien;775;567;264;303;208;96;112
Bundesministerium für Landesverteidigung;0;0;0;0;0;0;0
Fachhochschule Campus Wien;1852;1852;642;1210;0;107;186
Lauder Business School;96;23;9;14;73;30;43
Fachhochschule Technikum Wien;1173;866;696;170;307;203;104
Quelle: Statistik Austria – Hochschulstatistik.;;;;;;;
(1) Inklusive ausländischer Standorte.;;;;;;;
Anmerkungen: Öffentliche Universitäten: Abschlüsse ordentlicher Studien und Lehrgangsabschlüsse. Ab dem Studienjahr 2016/17 erfolgt die zähltechnische Abbildung der Studienabschlüsse auf Basis des Verteilungsschlüssels gemäß § 9 Abs. 2 und Abs. 5 bis 7 UniStEV 2004. Dadurch sind Studienabschlüsse auf ganze Zahlen zu runden und es kann zu Abweichungen zwischen der Gesamtsumme und den addierten Detailergebnissen kommen. Privatuniversitäten: Abschlüsse ordentlicher und außerordentlicher Studien. Pädagogische Hochschulen: Studienabschlüsse Lehramt und Studienabschlüsse von Lehrgängen. Ab dem Studienjahr 2016/17 erfolgt die zähltechnische Abbildung der Studienabschlüsse auf Basis des Verteilungsschlüssels gemäß § 9 Abs 4 HSteV. Dadurch sind Studienabschlüsse auf ganze Zahlen zu runden und es kann zu Abweichungen zwischen der Gesamtsumme und den addierten Detailergebnissen kommen. Fachhochschulen: Studienort ist jener des einzelnen Studienfalls. Studienabschlüsse ordentlicher Studien und Studienabschlüsse von Lehrgängen.;;;;;;;
