Bildungsstand der 25- bis 64-jährigen Wohnbevölkerung in Wien nach Staatsangehörigkeit und Geschlecht 2022;;;;;;;
Höchste abgeschlossene Ausbildung;Insgesamt;Staatsangehörigkeit;;;;;
;;Österreich;;;Fremde;;
;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;Männer;Frauen;;Männer;Frauen
Wien;1135015;710208;351246;358962;424807;214425;210382
Pflichtschule (1);238561;94862;44631;50231;143699;75324;68375
Lehre;228479;159372;96866;62506;69107;41517;27590
Berufsbildende mittlere Schule (2);100131;68799;27936;40863;31332;14388;16944
Allgemein bildende höhere Schule;128047;74722;36961;37761;53325;24990;28335
Berufsbildende höhere Schule (3);83804;64393;34715;29678;19411;9939;9472
Kolleg;11808;9586;3108;6478;2222;877;1345
Akademie (4);19225;13113;2860;10253;6112;2479;3633
Hochschule (5);324960;225361;104169;121192;99599;44911;54688
Quelle: Statistik Austria – Registerzählung 2022.;;;;;;;
"(1) Inklusive Personen ohne Pflichtschulabschluss.
(2) Inklusive mittlere Schulen des Gesundheitswesens, Schulen für Gesundheits- und Krankenpflege sowie Meister- und Werkmeisterprüfung.
(3) Inklusive lehrerbildende höhere Schulen.
(4) Abschluss einer Berufs- und lehrerbildenden Akademie, Akademie im Gesundheitswesen_ inklusive Abschlüsse verschiedener Universitätslehrgänge.
(5) Abschluss an öffentlichen Universitäten, Privatuniversitäten, Fachhochschulen, Pädagogischen Hochschulen (einschließlich anerkannter privater Studiengänge privater Rechtsträger, ohne Lehrgänge zur Fortbildung) und Theologischen Lehranstalten. Inklusive Abschlüsse postgradualer Universitätslehrgänge oder Lehrgänge universitären Charakters.";;;;;;;
