Finanzierung der Ausgaben für F&E in sämtlichen Erhebungsbereichen nach Bundesländern und Finanzierungsbereichen 2021 (1);;;;;;;;
Bundesländer;F&E durchführende Erhebungseinheiten;Insgesamt;Finanzierungsbereiche;;;;;
;;;Unternehmenssektor;Öffentlicher Sektor;Privater gemeinnütziger Sektor;Hochschulsektor (2);Ausland einschl. internat.Organisationen (ohne EU) (3);EU
;;;;;;;;
;;in 1.000 EUR;;;;;;
Österreich;5440;13225489;7004275;3764531;40387;137979;2003377;274940
Burgenland;72;91141;56413;15397;59;1865;15373;2034
Kärnten;200;764420;368449;99742;293;1775;279661;14500
Niederösterreich;583;1091120;767061;215942;1791;17753;67803;20770
Oberösterreich;932;2423060;1876552;303002;3143;5507;210991;23865
Salzburg;280;470913;282541;158714;1716;8755;13485;5702
Steiermark;1065;2572614;1083293;715863;2650;24860;694835;51113
Tirol;438;1116834;543951;385447;1912;12620;156054;16850
Vorarlberg;170;388623;351203;31347;149;7;4269;1648
Wien;1700;4306764;1674812;1839077;28674;64837;560906;138458
Quelle: Statistik Austria – Erhebungen über Forschung und experimentelle Entwicklung.;;;;;;;;
"Anmerkung: Rundungsdifferenzen nicht ausgeglichen. Die Standardauswertung erfolgte nach dem Hauptstandort der F&E betreibenden Einrichtung bzw. des Unternehmens (rechtliche Einheit). 
Die Finanzierung durch die Forschungsprämie wird entsprechend den internationalen Richtlinien der F&E-Statistik (Frascati Manual 2015) als Teil der eigenen Mittel der F&E betreibenden Einrichtung angesehen (z.B. bei Unternehmen: Finanzierung durch den Unternehmenssektor).";;;;;;;;
"1) Einschließlich Landeskrankenanstalten. Die Landeskrankenanstalten wurden nicht mittels Fragebogen erhoben, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria unter Heranziehung der Meldungen der Ämter der Landesregierungen. 
2) Einschließlich Eigenmittel der Hochschulen, die aus Einnahmen für Gutachten, Prüfungen und Untersuchungen im Auftrag Dritter stammen_ außerdem Einnahmen aus Spenden und Sponsoring sowie Studiengebühren. 
3) Einschließlich internationaler Organisationen und ausländischer Unternehmen.";;;;;;;;
