Finanzierung der F&E-Ausgaben nach Wissenschaftszweigen (1) und Finanzierungsbereichen in Wien 2021;;;;;;;;
Wissenschaftszweige;F&E durchführende Erhebungseinheiten (2);Finanzierungsbereiche;;;;;;
;;Insgesamt;Unternehmenssektor;Öffentlicher Sektor;Privater gemeinnütziger Sektor;Hochschulsektor (3);Ausland einschl. internat. Organisationen (ohne EU) (4);EU
;;;;;;;;
;;in 1.000 EUR;;;;;;
Insgesamt;566;2107626;93284;1758224;27066;64554;49593;114905
Naturwissenschaften;128;555498;30363;468136;9486;3627;12922;30964
Technische Wissenschaften;70;369398;24066;282686;1011;9208;9038;43389
Humanmedizin, Gesundheitswissenschaften;60;476623;17638;400999;4520;30485;14649;8332
Agrarwissenschaften, Veterinärmedizin;66;120613;2834;107508;959;2018;2035;5259
Sozialwissenschaften;157;349599;16862;275469;10347;18800;9979;18142
Geisteswissenschaften;85;235895;1521;223426;743;416;970;8819
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung, Sonderauswertung für Wien.;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen. Die Finanzierung durch die Forschungsprämie wird entsprechend den internationalen Richtlinien der F&E-Statistik (Frascati Manual 2015) als Teil der eigenen Mittel der F&E betreibenden Einrichtung angesehen (z.B. bei Unternehmen: Finanzierung durch den Unternehmenssektor).;;;;;;;;
"1) Die Mittel der Forschungsförderungsfonds sind in ""(Sonstiger) öffentlicher Sektor"" enthalten. 
2) Ohne Landeskrankenanstalten. 
3) Einschließlich Eigenmittel der Hochschulen, die aus Einnahmen für Gutachten, Prüfungen und Untersuchungen im Auftrag Dritter stammen_ außerdem Einnahmen aus Spenden und Sponsoring sowie Studiengebühren. 
4) Einschließlich internationaler Organisationen und ausländischer Unternehmen.";;;;;;;;
