Wohnungsbestand und -nutzfläche nach Gemeindebezirken 1981-2021;;;;;;;;;;
Gemeindebezirk;Wohnungsbestand;;;;;Nutzfläche in 1.000 m²;;;;
;1981;1991,0;2001,0;2011,0;2021,0;1981;1991,0;2001,0;2011,0;2021,0
Wien;821175;853091,0;910745,0;983840,0;1074967,0;50549;56302,0;63011,102;69232,85399999999;76558,222
1. Innere Stadt;11562;11259,0;11515,0;11740,0;10772,0;1086;1093,0;1146,047;1154,357;1082,534
2. Leopoldstadt;48399;48593,0;49667,0;53895,0;59012,0;3026;3192,0;3313,662;3639,673;4030,692
3. Landstraße;49330;48507,0;48520,0;51327,0;56104,0;3250;3343,0;3476,509;3681,524;4006,811
4. Wieden;18862;18620,0;18806,0;19333,0;19508,0;1430;1472,0;1519,618;1575,008;1591,941
5. Margareten;31738;30507,0;31475,0;33081,0;33330,0;1758;1822,0;1950,165;2062,589;2086,731
6. Mariahilf;16763;17264,0;18198,0;18545,0;18709,0;1177;1280,0;1362,727;1397,358;1410,473
7. Neubau;17603;17859,0;18735,0;19087,0;19596,0;1217;1322,0;1403,943;1454,278;1497,394
8. Josefstadt;14522;14316,0;14734,0;14867,0;14401,0;1084;1106,0;1175,37;1189,968;1161,031
9. Alsergrund;25882;25394,0;25443,0;26271,0;25885,0;1787;1824,0;1891,912;1954,626;1948,888
10. Favoriten;78820;82589,0;86764,0;97092,0;109351,0;4205;4783,0;5303,435;6096,59;6996,912
11. Simmering;30118;33518,0;40856,0;46962,0;53345,0;1780;2113,0;2704,617;3175,171;3642,761
12. Meidling;44841;44295,0;46874,0;50696,0;54177,0;2464;2652,0;2925,708;3206,431;3466,267
13. Hietzing;27118;29240,0;30351,0;31335,0;32211,0;2010;2287,0;2470,267;2615,243;2772,937
14. Penzing;43954;46560,0;48741,0;51153,0;55277,0;2585;3009,0;3316,161;3556,129;3922,659
15. Rudolfsheim-Fünfhaus;42091;39179,0;39247,0;41465,0;43145,0;2100;2162,0;2296,162;2465,021;2583,624
16. Ottakring;52686;53216,0;53411,0;57339,0;59047,0;2683;2908,0;3136,172;3438,192;3604,015
17. Hernals;29484;30865,0;30706,0;32846,0;33633,0;1614;1824,0;1971,198;2155,734;2246,322
18. Währing;30507;29188,0;29824,0;30904,0;31146,0;1968;2076,0;2233,297;2352,654;2398,539
19. Döbling;35619;38873,0;39608,0;41910,0;43194,0;2575;2910,0;3103,986;3342,496;3532,299
20. Brigittenau;40003;39540,0;43320,0;45993,0;46703,0;2089;2240,0;2558,012;2756,96;2810,04
21. Floridsdorf;54400;61535,0;69579,0;76990,0;93854,0;3340;4088,0;4884,715;5575,261;6836,187
22. Donaustadt;44224;53029,0;69539,0;81341,0;102672,0;3027;3840,0;5359,624;6426,297;8131,282
23. Liesing;32649;39145,0;44832,0;49668,0;59895,0;2294;2956,0;3507,795;3961,294;4797,883
Quelle: Statistik Austria – Gebäude- bzw. Häuser- und Wohnungszählungen 1981–2001, Registerzählung 2011-2021.;;;;;;;;;;
