Kleingärten in Wien nach Flächenwidmung seit 2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flächenwidmung;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha;abs.;ha
Parzellen;35495;1409,2600000000002;35662;1410,8;35816;1414,3;35990;1419,6;35990;1415;36021;1416,9621;36014;1414,3753000000004;35299;1496,7;35815;1436,4289;35816;1427,6326000000001;35808;1429,946;35844;1431,6;35874;1432,3111999999999;35918;1432,1452;35910;1431,7301999999997;35831;1428,6653999999999
Kleingartengebiete;3929;149,8;3054;115,5;3037;115;3034;115,1;3017;114,6;2870;107,65240000000001;2859;105,77940000000001;1928;90,6;2375;85,07770000000001;2372;84,994;2285;82,32920000000001;2285;82,4;2280;81,7532;2244;80,1817;2244;80,1817;2236;80,48519999999999
Für ganzjähriges Wohnen;22464;847,2;23499;889;23631;891,2;23686;893,9;23720;896,2;23863;903,1892000000001;23874;903,2018;24211;993,4;24205;924,734;24226;926,4832000000001;24314;932,0372000000001;24343;933,5000000000001;24357;933,7598;24394;935,2493000000001;24400;934,8293;24357;933,9189
Gartensiedlungsgebiete;5007;249,16;5115;249,8;5323;257,5;5524;262,7;5610;264,8;5654;266,51279999999997;5654;266,5092;5722;270;5766;272,966;5770;273,4189999999999;5809;274,621;5812;274,8;5820;274;5992;283,98499999999996;5984;284,09;5861;274,036
Bauland;1186;52,94;1119;49,7;997;43,1;965;41,6;860;33,7;859;33,797000000000004;858;33,73;592;20;585;21,5484;559;18,9137;507;16,918;507;16,8;517;17,3346;516;17,3216;514;17,3216;489;15,977700000000002
Grundflächen für Badehütten;1590;36,23;1590;36,2;1597;38,3;1599;38,4;1599;38,4;1599;38,367000000000004;1597;38,367000000000004;1599;38,4;1635;32,8731;1645;39,603500000000004;1645;39,603500000000004;1649;39,6;1649;39,6955;1524;29,595499999999998;1524;29,595499999999998;1649;39,6955
Erholungs-, Agrar- und Schutzgebiete;575;42,39;564;39,3;554;38,8;552;38,8;555;38,8;552;38,543499999999995;548;37,8693;653;56,9;653;62,9468;653;56,93809999999999;657;57,5315;657;57,50000000000001;661;58,9246;661;58,92459999999999;661;58,92459999999999;659;58,0146
Verkehrsflächen (1);744;31,54;721;31,3;677;30,4;630;29,1;629;29,1;624;28,900199999999998;624;28,918599999999998;594;27,3;596;36,282900000000005;591;27,2811;591;26,905600000000003;591;27,000000000000004;590;26,8435;587;26,887499999999996;583;26,787499999999998;580;26,537499999999998
Quelle: Stadt Wien Immobilienmanagement.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(1) Derzeit noch nicht für den Verkehr genützte Flächen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
