Krankenanstalten in Wien seit 1981;;;;;;;
Jahr (1);"Zahl der
Krankenanstalten";Systematisierte Betten;"Tatsächlich
aufgestellte Betten";"Ärztinnen
und Ärzte";"Personen in
nicht ärztlichen
Gesundheitsberufen";"Stationäre
Patientinnen
und Patienten";"Ø Belagsdauer
in Tagen"
1981;50;22946;;3331;10594;369672;15,2
1982;51;23014;;3364;11003;380044;14,24569873632273
1983;50;22603;;3434;11029;389318;13,69544937428896
1984;51;22353;;3485;12165;396401;13,36515293290065
1985;51;22147;;3484;12871;404163;12,76278245758258
1986;53;21871;;3554;13239;409789;12,18319490062051
1987;54;21732;;3531;13425;418820;11,68599011455457
1988;54;21720;;3610;13599;393589;12,49710242200958
1989;56;21786;20639;3756;15455;416660;10,2
1990;56;21451;20148;3972;16260;420460;9,9
1991;56;21509;19687;4242;17260;430831;9,3
1992;57;21483;19677;4693;18413;443483;9
1993;57;21186;19667;4832;18747;453955;8,8
1994;56;20783;19720;5143;19832;464131;8,4
1995;57;20468;19649;5122;20020;489681;8
1996;55;20003;19202;5136;20519;506624;7,7
1997;55;19658;19146;5228;20309;565441;6,92390195997613
1998;55;19514;18671;5198;20258;587272;6,648505927000858
1999;51;19052;18321;5367;20718;604045;6,435765939935178
2000;49;18743;17880;5382;20633;605616;6,252936152039291
2001;47;18713;17904;5527;20724;630847;6
2002;48;18905;17798;5695;20639;648527;5,8
2003;48;19093;17701;5762;20873;633112;5,9
2004;40;14237;13360;5561;18845;574210;6,63246373278069
2005;40;14237;13360;5561;18845;574210;6,63246373278069
2006;38;14108;13035;5675;19548;592874;6,588681574837149
2007;39;14140;13061;5752;19581;602123;6,253416660715502
2008;38;14098;12909;5946;19922;612198;6,4
2009;38;14069;12900;6044;20282;614923;6,3
2010;38;14058;12907;6226;20226;623243;6,2
2011;41;14544;13210;6330;20709;626712;6,3
2012;41;14464;13099;6523;21056;636129;6,2
2013;42;14753;13398;6563;21202;636912;6,2
2014;44;15356;13802;6727;21747;646462;6,346130166970371
2015;47;16029;14491;6841;22688;650417;6,6
2016;47;15831;14612;6859;22829;670934;6,5
2017;46;15666;14572;6528;23313;682485;6
2018;45;15218;14172;6608;23424;564301;7,6
2019;46;15206;14319;7295;24130;570292;7,480511737846577
2020;44;15144;13938;7058;23838;463494;8,184882652202617
2021;44;15071;13510;6829;23374;480835;7,800029116016929
2022;44;15035;13208;6918;23413;476810;7,769952391938088
2023;44;15020;13171;7119;23849;500447;7,5
Quelle: Bis inklusive 2003: Statistische Jahrbücher der Stadt Wien, ab 2004: Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz.;;;;;;;
Anmerkungen: Als Krankenanstalt der Stadt Wien gilt weiters das Therapiezentrum Ybbs - Psychiatrisches Krankenhaus, welches jedoch in dieser Tabelle nicht angeführt wird, da es sich nicht in Wien befindet. Revidierte Werte: Die Werte für 2004 und 2005 wurden falsch angegeben und mussten korrigiert werden.;;;;;;;
(1) Ab 2004: Geänderte Krankenanstaltentypisierung, ohne Pflegebereich (Ausnahme: Haus der Barmherzigkeit Seeböckgasse). Ab 2007: Zusätzliches als Spital bescheidetes Pflegeheim: Haus der Barmherzigkeit Tokiostraße.;;;;;;;
