Niedergelassene Ärztinnen und Ärzte sowie Apotheken in Wien seit 2004;;;;;;;;;
Jahr;Niedergelassene Ärztinnen und Ärzte;;;;;;;;Öffentliche Apotheken
;FachärztInnen;FachärztInnen darunter für…;;;;;"Allgemein-
mediziner-
Innen";"Zahn-
ärztInnen";
;;"Innere
Medizin";Frauenheilkunde und Geburtshilfe;Chirurgie;Orthopädie;"Haut- und Geschlechts-
krankheiten";;;
2004;2982;559;354;225;187;176;1383;892;295
2005;3019;562;356;228;190;179;1404;882;296
2006;3063;566;351;225;202;182;1436;986;297
2007;3108;573;354;225;205;189;1424;927;299
2008;3144;570;354;212;217;200;1419;928;307
2009;3190;568;352;215;227;205;1434;925;311
2010;3301;586;360;212;244;210;1452;937;312
2011;3331;573;364;208;257;205;1468;921;314
2012;3419;575;364;224;267;207;1485;941;315
2013;3481;588;358;224;278;215;1470;942;316
2014;3597;606;361;229;289;221;1474;939;318
2015;3631;609;358;236;289;222;1458;948;322
2016;3706;617;356;240;293;232;1456;952;325
2017;3789;618;356;244;301;235;1440;959;326
2018;3872;629;366;241;296;240;1443;947;328
2019;3976;635;370;253;305;247;1456;944;330
2020;4083;655;378;257;307;258;1439;947;331
2021;4135;661;376;257;302;266;1449;942;332
2022;4241;673;373;262;302;268;1458;935;335
2023;4385;685;385;273;295;276;1447;936;338
Quelle: Ärztekammer für Wien, Landeszahnärztekammer für Wien und Österreichische Apothekerkammer.;;;;;;;;;
Anmerkung: Stand zum 31. 12. des jeweiligen Jahres.;;;;;;;;;
