Inanspruchnahme von Vorsorgeuntersuchungen (Bevölkerung ab 18 Jahren) in Wien nach Altersgruppen und Geschlecht 2023;;;;;;;;
Altersgruppe;Allgemeines Untersuchungsprogramm;;;;;;"Gynäkologisches
Untersuchungsprogramm";
;insgesamt;;Männer;;Frauen;;;
;absolut;"Anteil an
Bevölkerung (in %)";absolut;"Anteil an männlicher
Bevölkerung (in %)";absolut;"Anteil an weiblicher
Bevölkerung (in %)";absolut;"Anteil an weiblicher
Bevölkerung (in %)"
Insgesamt;434019;17,5;148440;18,6;285579;21;107101;15,12480317462559
18–24;36991;10,9;11681;13,4;25310;16,7;10890;25,811883546165394
25–29;47955;15;14886;17,9;33069;22,7;14563;29,74156790996504
30–34;51012;16,4;16753;19,4;34259;24,2;14436;25,661264197957557
35–39;46265;16,8;15788;19,9;30477;23,9;12153;21,31576025247873
40–44;42149;17,7;14555;20,3;27594;23,9;10608;18,01405647854138
45–49;37707;18,3;12741;20,1;24966;24;9289;16,090537399348843
50–54;37994;19,3;13287;20,3;24707;22,9;8875;13,272769873709365
55–59;37002;19,8;13949;20,6;23053;22;7866;10,912541172291741
60–64;31033;20,7;12008;20,9;19025;21;6369;9,40496041942523
65–69;22462;20,6;8044;19,5;14418;20,1;4589;8,264703193227373
70–74;16655;19,9;5764;17,9;10891;18,3;3286;7,354708001652487
75+;26794;16,1;8984;14,2;17810;13,7;4177;5,208180417113355
Quelle: Hauptverband der österreichischen Sozialversicherungsträger, Statistik Austria und Berechnungen der Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;
