Todesursachen in Wien nach ICD-10-Klassifikation, Geschlecht und Altersgruppen 2023;;;;;;;;;
Todesursache nach ICD-10-Klassifikation;Insgesamt;Gestorbene (1);;;;;;;
;;Männer im Alter von…;;;;Frauen im Alter von…;;;
;;0–24;25–44;45–64;65+;0–24;25–44;45–64;65+
Wien;17249;111;270;1464;6670;72;134;822;7706
Infektiöse und parasitäre Krankheiten;226;2;4;37;72;1;3;14;93
Bösartige, gutartige und andere Neubildungen;4201;9;32;442;1711;3;41;375;1588
Krankheiten des Blutes und des Immunsystems;50;1;0;4;14;0;0;3;28
Endokrine, Ernährungs- und Stoffwechselkrankheiten;1083;1;17;99;422;4;7;52;481
Psychische Krankheiten und Verhaltensstörungen;668;2;17;73;188;1;4;12;371
Krankheiten des Nervensystems, des Auges und des Ohres;589;8;6;42;228;4;3;23;275
Krankheiten des Kreislaufsystems;5705;3;35;306;2255;1;11;128;2966
Krankheiten des Atmungssystems;1131;0;5;67;481;4;2;41;531
Krankheiten des Verdauungssystems;692;0;23;143;205;0;15;54;252
Krankheiten der Haut und der Unterhaut;20;0;0;0;4;0;0;0;16
Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;71;0;0;5;19;1;0;5;41
Krankheiten des Urogenitalsystems;318;0;0;10;116;0;0;3;189
Schwangerschaft, Geburt und Wochenbett;0;0;0;0;0;0;0;0;0
Perinatale Affektionen;47;32;0;0;0;15;0;0;0
Angeborene Anomalien;59;13;3;7;6;16;3;7;4
Symptome und abnorme klinische und Laborbefunde;892;6;16;92;396;4;6;31;341
Verletzungen, Vergiftungen, Folgen äußerer Ursachen;1497;34;112;137;553;18;39;74;530
Quelle: Statistik Austria – Todesursachenstatistik, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
(1) Inklusive Auslandssterbefälle.;;;;;;;;;
